Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
22:18:03 21/12/2020,1,63,5670565,"[5, 0, 9, 18, 1, 19, 24, 22, 17, 6, 25, 4, 14, 8, 7, 12, 13, 2, 3, 15, 21, 11, 16, 20, 10, 23]",False,0
22:18:03 21/12/2020,2,123,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",True,0
22:18:03 21/12/2020,3,186,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,1
22:18:03 21/12/2020,4,248,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,2
22:18:04 21/12/2020,5,306,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,3
22:18:04 21/12/2020,6,371,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,4
22:18:04 21/12/2020,7,436,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,5
22:18:04 21/12/2020,8,497,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,6
22:18:04 21/12/2020,9,558,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,7
22:18:04 21/12/2020,10,623,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,8
22:18:05 21/12/2020,11,685,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,9
22:18:05 21/12/2020,12,749,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,10
22:18:05 21/12/2020,13,816,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,11
22:18:05 21/12/2020,14,879,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,12
22:18:05 21/12/2020,15,937,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,13
22:18:05 21/12/2020,16,1004,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",True,14
22:18:06 21/12/2020,17,1069,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,15
22:18:06 21/12/2020,18,1131,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,16
22:18:06 21/12/2020,19,1196,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,17
22:18:06 21/12/2020,20,1260,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,18
22:18:06 21/12/2020,21,1324,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,19
22:18:06 21/12/2020,22,1389,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,20
22:18:06 21/12/2020,23,1451,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,21
22:18:07 21/12/2020,24,1510,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,22
22:18:07 21/12/2020,25,1574,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,23
22:18:07 21/12/2020,26,1637,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,24
22:18:07 21/12/2020,27,1697,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,25
22:18:07 21/12/2020,28,1759,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,26
22:18:07 21/12/2020,29,1816,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,27
22:18:07 21/12/2020,30,1878,5516701,"[11, 12, 16, 2, 21, 7, 5, 20, 1, 14, 17, 3, 0, 19, 13, 10, 18, 8, 4, 22, 9, 6, 23, 15, 25, 24]",False,28
22:18:07 21/12/2020,31,1944,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",True,0
22:18:08 21/12/2020,32,1999,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",False,1
22:18:08 21/12/2020,33,2061,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",False,2
22:18:08 21/12/2020,34,2123,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",True,3
22:18:08 21/12/2020,35,2188,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",False,4
22:18:08 21/12/2020,36,2250,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",False,5
22:18:08 21/12/2020,37,2311,5486851,"[7, 14, 20, 6, 15, 11, 22, 21, 2, 12, 18, 8, 4, 0, 23, 10, 5, 19, 3, 1, 24, 9, 16, 25, 17, 13]",False,6
