Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
13:09:03 20/12/2020,1,61,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,0
13:09:03 20/12/2020,2,124,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,1
13:09:03 20/12/2020,3,186,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,2
13:09:03 20/12/2020,4,248,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,3
13:09:03 20/12/2020,5,311,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,4
13:09:03 20/12/2020,6,374,3992066,"[5, 14, 24, 16, 23, 8, 10, 22, 2, 13, 19, 7, 4, 20, 18, 11, 17, 0, 6, 25, 3, 1, 21, 9, 12, 15]",False,0
13:09:03 20/12/2020,7,437,3992066,"[5, 14, 24, 16, 23, 8, 10, 22, 2, 13, 19, 7, 4, 20, 18, 11, 17, 0, 6, 25, 3, 1, 21, 9, 12, 15]",False,1
13:09:03 20/12/2020,8,502,3948858,"[2, 12, 21, 16, 13, 8, 9, 14, 0, 5, 19, 17, 23, 1, 10, 22, 20, 15, 4, 25, 18, 3, 24, 11, 6, 7]",False,0
13:09:03 20/12/2020,9,564,3948858,"[2, 12, 21, 16, 13, 8, 9, 14, 0, 5, 19, 17, 23, 1, 10, 22, 20, 15, 4, 25, 18, 3, 24, 11, 6, 7]",False,1
13:09:03 20/12/2020,10,624,3948858,"[2, 12, 21, 16, 13, 8, 9, 14, 0, 5, 19, 17, 23, 1, 10, 22, 20, 15, 4, 25, 18, 3, 24, 11, 6, 7]",False,2
13:09:03 20/12/2020,11,684,3947496,"[1, 24, 14, 2, 12, 8, 16, 22, 10, 0, 19, 7, 4, 20, 18, 11, 17, 13, 6, 25, 3, 5, 21, 9, 23, 15]",False,0
13:09:03 20/12/2020,12,747,3947496,"[1, 24, 14, 2, 12, 8, 16, 22, 10, 0, 19, 7, 4, 20, 18, 11, 17, 13, 6, 25, 3, 5, 21, 9, 23, 15]",False,1
