Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
12:59:11 20/12/2020,1,64,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,0
12:59:11 20/12/2020,2,124,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,1
12:59:11 20/12/2020,3,188,4000806,"[2, 12, 23, 16, 13, 8, 9, 11, 0, 5, 4, 19, 18, 1, 3, 22, 20, 14, 17, 21, 25, 10, 24, 15, 6, 7]",False,2
12:59:12 20/12/2020,4,253,3969074,"[19, 3, 16, 10, 22, 9, 17, 5, 13, 18, 8, 21, 1, 4, 20, 24, 25, 12, 11, 2, 0, 23, 15, 14, 6, 7]",False,0
12:59:12 20/12/2020,5,318,3969074,"[19, 3, 16, 10, 22, 9, 17, 5, 13, 18, 8, 21, 1, 4, 20, 24, 25, 12, 11, 2, 0, 23, 15, 14, 6, 7]",False,1
12:59:12 20/12/2020,6,379,3969074,"[19, 3, 16, 10, 22, 9, 17, 5, 13, 18, 8, 21, 1, 4, 20, 24, 25, 12, 11, 2, 0, 23, 15, 14, 6, 7]",False,2
12:59:12 20/12/2020,7,441,3969074,"[19, 3, 16, 10, 22, 9, 17, 5, 13, 18, 8, 21, 1, 4, 20, 24, 25, 12, 11, 2, 0, 23, 15, 14, 6, 7]",False,3
12:59:12 20/12/2020,8,501,3969074,"[19, 3, 16, 10, 22, 9, 17, 5, 13, 18, 8, 21, 1, 4, 20, 24, 25, 12, 11, 2, 0, 23, 15, 14, 6, 7]",False,4
12:59:12 20/12/2020,9,566,3948015,"[22, 20, 9, 10, 17, 23, 14, 25, 21, 5, 15, 19, 11, 1, 3, 24, 8, 4, 2, 12, 7, 16, 18, 13, 6, 0]",False,0
12:59:12 20/12/2020,10,626,3946322,"[19, 3, 6, 10, 20, 9, 11, 5, 13, 18, 8, 2, 1, 4, 22, 24, 25, 12, 17, 21, 0, 23, 15, 14, 16, 7]",False,0
12:59:12 20/12/2020,11,689,3946322,"[19, 3, 6, 10, 20, 9, 11, 5, 13, 18, 8, 2, 1, 4, 22, 24, 25, 12, 17, 21, 0, 23, 15, 14, 16, 7]",False,1
