Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
14:26:08 20/12/2020,1,61,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,0
14:26:08 20/12/2020,2,124,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,1
14:26:08 20/12/2020,3,186,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,2
14:26:08 20/12/2020,4,248,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,3
14:26:08 20/12/2020,5,311,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,4
14:26:09 20/12/2020,6,374,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,5
14:26:09 20/12/2020,7,437,5720650,"[11, 23, 1, 15, 5, 4, 22, 24, 8, 12, 13, 21, 14, 18, 3, 25, 2, 17, 19, 6, 16, 7, 10, 9, 20, 0]",False,0
14:26:09 20/12/2020,8,502,5708279,"[11, 18, 15, 12, 5, 16, 6, 20, 8, 19, 2, 21, 14, 23, 10, 22, 4, 17, 24, 13, 3, 7, 25, 9, 1, 0]",False,0
14:26:09 20/12/2020,9,564,5708279,"[11, 18, 15, 12, 5, 16, 6, 20, 8, 19, 2, 21, 14, 23, 10, 22, 4, 17, 24, 13, 3, 7, 25, 9, 1, 0]",False,1
14:26:09 20/12/2020,10,624,5666798,"[14, 17, 23, 9, 6, 21, 1, 7, 25, 13, 0, 8, 4, 19, 10, 11, 12, 5, 2, 22, 16, 24, 3, 15, 20, 18]",False,0
14:26:09 20/12/2020,11,685,5654500,"[2, 18, 23, 9, 6, 5, 10, 25, 1, 4, 19, 8, 13, 7, 17, 11, 12, 14, 0, 16, 22, 24, 3, 15, 20, 21]",False,0
14:26:09 20/12/2020,12,751,5654500,"[2, 18, 23, 9, 6, 5, 10, 25, 1, 4, 19, 8, 13, 7, 17, 11, 12, 14, 0, 16, 22, 24, 3, 15, 20, 21]",False,1
14:26:09 20/12/2020,13,815,5654500,"[2, 18, 23, 9, 6, 5, 10, 25, 1, 4, 19, 8, 13, 7, 17, 11, 12, 14, 0, 16, 22, 24, 3, 15, 20, 21]",False,2
