Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
14:20:50 20/12/2020,1,63,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,0
14:20:51 20/12/2020,2,123,5723988,"[1, 11, 8, 25, 22, 0, 2, 14, 10, 7, 13, 3, 19, 23, 12, 18, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,1
14:20:51 20/12/2020,3,185,5700791,"[11, 1, 8, 18, 23, 0, 2, 14, 10, 7, 13, 3, 19, 22, 12, 25, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,0
14:20:51 20/12/2020,4,245,5700791,"[11, 1, 8, 18, 23, 0, 2, 14, 10, 7, 13, 3, 19, 22, 12, 25, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,1
14:20:51 20/12/2020,5,307,5700791,"[11, 1, 8, 18, 23, 0, 2, 14, 10, 7, 13, 3, 19, 22, 12, 25, 15, 4, 20, 6, 16, 17, 9, 21, 24, 5]",False,2
14:20:51 20/12/2020,6,373,5689811,"[14, 23, 12, 25, 22, 18, 2, 1, 6, 7, 13, 19, 4, 10, 20, 0, 3, 8, 17, 11, 9, 24, 15, 21, 16, 5]",False,0
14:20:51 20/12/2020,7,434,5689228,"[8, 12, 24, 5, 6, 16, 11, 2, 7, 9, 19, 21, 4, 14, 20, 25, 0, 17, 15, 1, 10, 23, 22, 3, 18, 13]",False,0
14:20:51 20/12/2020,8,501,5685418,"[20, 23, 12, 25, 22, 1, 2, 14, 10, 7, 13, 3, 19, 18, 8, 0, 15, 4, 11, 6, 16, 17, 9, 21, 24, 5]",False,0
14:20:51 20/12/2020,9,562,5681285,"[11, 13, 22, 1, 12, 18, 6, 23, 8, 5, 21, 20, 19, 17, 2, 24, 10, 7, 4, 9, 15, 3, 16, 25, 0, 14]",False,0
14:20:51 20/12/2020,10,622,5681285,"[11, 13, 22, 1, 12, 18, 6, 23, 8, 5, 21, 20, 19, 17, 2, 24, 10, 7, 4, 9, 15, 3, 16, 25, 0, 14]",False,1
14:20:51 20/12/2020,11,687,5680731,"[20, 5, 6, 2, 11, 14, 21, 0, 1, 25, 13, 8, 16, 24, 9, 19, 18, 4, 10, 15, 22, 7, 17, 12, 23, 3]",False,0
14:20:51 20/12/2020,12,748,5680731,"[20, 5, 6, 2, 11, 14, 21, 0, 1, 25, 13, 8, 16, 24, 9, 19, 18, 4, 10, 15, 22, 7, 17, 12, 23, 3]",False,1
14:20:51 20/12/2020,13,814,5679557,"[20, 5, 6, 2, 23, 1, 18, 24, 10, 21, 16, 4, 13, 0, 9, 11, 17, 8, 19, 15, 22, 7, 12, 25, 3, 14]",False,0
14:20:51 20/12/2020,14,874,5649850,"[1, 10, 12, 25, 22, 0, 2, 14, 6, 7, 13, 3, 19, 4, 20, 18, 23, 8, 17, 11, 9, 24, 15, 21, 16, 5]",False,0
14:20:51 20/12/2020,15,938,5649850,"[1, 10, 12, 25, 22, 0, 2, 14, 6, 7, 13, 3, 19, 4, 20, 18, 23, 8, 17, 11, 9, 24, 15, 21, 16, 5]",False,1
14:20:52 20/12/2020,16,999,5637136,"[1, 10, 20, 25, 5, 0, 2, 14, 6, 7, 13, 3, 19, 22, 12, 18, 4, 8, 17, 11, 9, 24, 15, 21, 16, 23]",False,0
14:20:52 20/12/2020,17,1062,5615580,"[11, 13, 22, 16, 12, 18, 6, 23, 8, 5, 21, 20, 19, 17, 2, 24, 0, 7, 4, 9, 15, 3, 1, 25, 10, 14]",True,0
14:20:52 20/12/2020,18,1123,5566022,"[20, 15, 7, 9, 3, 25, 18, 0, 14, 10, 5, 8, 13, 2, 17, 1, 11, 4, 19, 24, 16, 21, 22, 12, 23, 6]",True,0
14:20:52 20/12/2020,19,1183,5565460,"[20, 24, 7, 9, 3, 25, 18, 0, 14, 1, 5, 8, 13, 2, 17, 10, 11, 4, 19, 15, 16, 21, 22, 12, 23, 6]",False,0
14:20:52 20/12/2020,20,1248,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",True,0
14:20:52 20/12/2020,21,1314,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,1
14:20:52 20/12/2020,22,1380,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,2
14:20:52 20/12/2020,23,1438,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,3
14:20:52 20/12/2020,24,1500,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,4
14:20:52 20/12/2020,25,1560,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,5
14:20:52 20/12/2020,26,1622,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,6
14:20:53 20/12/2020,27,1685,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",True,7
14:20:53 20/12/2020,28,1747,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",True,8
14:20:53 20/12/2020,29,1808,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",True,9
14:20:53 20/12/2020,30,1867,5495877,"[21, 2, 7, 22, 11, 24, 6, 0, 1, 8, 3, 20, 17, 18, 13, 10, 14, 4, 19, 15, 5, 12, 9, 25, 23, 16]",False,10
14:20:53 20/12/2020,31,1933,5483829,"[13, 10, 9, 22, 12, 0, 14, 20, 24, 7, 11, 2, 19, 3, 18, 6, 4, 8, 17, 25, 5, 15, 1, 21, 16, 23]",True,0
14:20:53 20/12/2020,32,1995,5483829,"[13, 10, 9, 22, 12, 0, 14, 20, 24, 7, 11, 2, 19, 3, 18, 6, 4, 8, 17, 25, 5, 15, 1, 21, 16, 23]",False,1
14:20:53 20/12/2020,33,2059,5483829,"[13, 10, 9, 22, 12, 0, 14, 20, 24, 7, 11, 2, 19, 3, 18, 6, 4, 8, 17, 25, 5, 15, 1, 21, 16, 23]",False,2
14:20:53 20/12/2020,34,2120,5483829,"[13, 10, 9, 22, 12, 0, 14, 20, 24, 7, 11, 2, 19, 3, 18, 6, 4, 8, 17, 25, 5, 15, 1, 21, 16, 23]",False,3
14:20:54 20/12/2020,35,2180,5471336,"[3, 11, 15, 1, 12, 16, 6, 4, 0, 8, 19, 17, 7, 18, 21, 24, 2, 20, 14, 5, 22, 13, 23, 25, 9, 10]",True,0
