Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:11:02 20/12/2020,1,63,4051028,"[3, 21, 10, 24, 14, 17, 19, 20, 1, 11, 2, 23, 16, 8, 15, 13, 12, 18, 7, 22, 9, 4, 6, 0, 5, 25]",False,0
15:11:02 20/12/2020,2,123,4051028,"[3, 21, 10, 24, 14, 17, 19, 20, 1, 11, 2, 23, 16, 8, 15, 13, 12, 18, 7, 22, 9, 4, 6, 0, 5, 25]",False,1
15:11:02 20/12/2020,3,185,4049240,"[22, 9, 16, 23, 25, 13, 7, 6, 15, 11, 17, 18, 3, 14, 20, 10, 4, 19, 21, 8, 24, 2, 0, 1, 12, 5]",False,0
15:11:02 20/12/2020,4,245,4041017,"[22, 20, 23, 25, 11, 24, 0, 6, 21, 19, 10, 7, 18, 13, 9, 2, 1, 16, 4, 3, 17, 12, 5, 15, 14, 8]",False,0
15:11:03 20/12/2020,5,307,4035872,"[22, 20, 0, 25, 21, 24, 10, 11, 6, 23, 19, 18, 17, 12, 5, 2, 7, 16, 4, 3, 1, 13, 9, 15, 14, 8]",False,0
15:11:03 20/12/2020,6,369,3977457,"[4, 15, 2, 20, 16, 7, 12, 21, 5, 6, 14, 3, 8, 0, 10, 24, 17, 18, 11, 22, 9, 23, 25, 19, 1, 13]",False,0
15:11:03 20/12/2020,7,429,3977457,"[4, 15, 2, 20, 16, 7, 12, 21, 5, 6, 14, 3, 8, 0, 10, 24, 17, 18, 11, 22, 9, 23, 25, 19, 1, 13]",False,1
15:11:03 20/12/2020,8,498,3968921,"[10, 20, 13, 25, 11, 24, 6, 21, 0, 7, 19, 18, 17, 12, 5, 2, 9, 16, 4, 3, 1, 22, 23, 15, 14, 8]",False,0
15:11:03 20/12/2020,9,561,3968921,"[10, 20, 13, 25, 11, 24, 6, 21, 0, 7, 19, 18, 17, 12, 5, 2, 9, 16, 4, 3, 1, 22, 23, 15, 14, 8]",False,1
15:11:03 20/12/2020,10,622,3968921,"[10, 20, 13, 25, 11, 24, 6, 21, 0, 7, 19, 18, 17, 12, 5, 2, 9, 16, 4, 3, 1, 22, 23, 15, 14, 8]",False,2
15:11:03 20/12/2020,11,691,3965405,"[22, 10, 23, 25, 11, 15, 6, 21, 0, 1, 19, 16, 7, 17, 5, 2, 20, 18, 4, 3, 13, 12, 9, 24, 14, 8]",False,0
15:11:03 20/12/2020,12,753,3953852,"[10, 20, 13, 25, 11, 24, 6, 7, 0, 9, 19, 18, 17, 12, 5, 2, 1, 16, 4, 15, 23, 22, 21, 3, 14, 8]",False,0
15:11:03 20/12/2020,13,817,3942286,"[10, 25, 12, 20, 11, 24, 0, 21, 6, 23, 19, 18, 17, 13, 5, 9, 7, 16, 4, 3, 1, 22, 2, 15, 14, 8]",False,0
15:11:03 20/12/2020,14,876,3942286,"[10, 25, 12, 20, 11, 24, 0, 21, 6, 23, 19, 18, 17, 13, 5, 9, 7, 16, 4, 3, 1, 22, 2, 15, 14, 8]",False,1
15:11:03 20/12/2020,15,942,3939659,"[10, 25, 12, 20, 11, 24, 6, 21, 0, 9, 18, 19, 17, 13, 5, 23, 7, 16, 4, 3, 1, 22, 2, 15, 14, 8]",False,0
15:11:03 20/12/2020,16,1003,3910619,"[10, 20, 12, 25, 13, 24, 0, 21, 6, 23, 19, 18, 17, 11, 5, 9, 7, 8, 4, 3, 1, 22, 2, 15, 14, 16]",False,0
15:11:04 20/12/2020,17,1064,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",True,0
15:11:04 20/12/2020,18,1125,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",True,1
15:11:04 20/12/2020,19,1186,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,2
15:11:04 20/12/2020,20,1251,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",True,3
15:11:04 20/12/2020,21,1316,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,4
15:11:04 20/12/2020,22,1382,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,5
15:11:04 20/12/2020,23,1440,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,6
15:11:04 20/12/2020,24,1502,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,7
15:11:05 20/12/2020,25,1562,3880709,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 1, 0, 4, 13, 8, 2, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,8
15:11:05 20/12/2020,26,1624,3856087,"[24, 14, 16, 9, 22, 15, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 7, 20, 25, 5, 3]",False,0
15:11:05 20/12/2020,27,1687,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",True,0
15:11:05 20/12/2020,28,1749,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",True,1
15:11:05 20/12/2020,29,1810,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",True,2
15:11:05 20/12/2020,30,1869,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",False,3
15:11:05 20/12/2020,31,1935,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",True,4
15:11:06 20/12/2020,32,1997,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",False,5
15:11:06 20/12/2020,33,2061,3838829,"[7, 14, 16, 9, 15, 22, 12, 11, 6, 2, 13, 4, 0, 8, 1, 21, 18, 17, 19, 10, 23, 20, 24, 25, 5, 3]",False,6
