Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:51:28 19/12/2020,1,65,5683325,"[15, 12, 25, 8, 17, 20, 3, 5, 21, 14, 19, 24, 18, 13, 23, 11, 7, 0, 4, 22, 10, 1, 9, 6, 2, 16]",True,0
15:51:28 19/12/2020,2,128,5683325,"[15, 12, 25, 8, 17, 20, 3, 5, 21, 14, 19, 24, 18, 13, 23, 11, 7, 0, 4, 22, 10, 1, 9, 6, 2, 16]",False,1
15:51:28 19/12/2020,3,188,5669449,"[1, 10, 25, 8, 17, 20, 3, 5, 21, 14, 19, 24, 18, 13, 23, 11, 7, 0, 4, 22, 2, 15, 12, 9, 6, 16]",False,0
15:51:28 19/12/2020,4,251,5669449,"[1, 10, 25, 8, 17, 20, 3, 5, 21, 14, 19, 24, 18, 13, 23, 11, 7, 0, 4, 22, 2, 15, 12, 9, 6, 16]",False,1
15:51:28 19/12/2020,5,311,5629906,"[5, 24, 2, 10, 22, 19, 16, 23, 14, 17, 13, 9, 21, 8, 7, 6, 11, 18, 4, 20, 25, 1, 15, 0, 3, 12]",False,0
15:51:28 19/12/2020,6,372,5568373,"[1, 22, 6, 18, 12, 15, 16, 0, 8, 9, 17, 19, 20, 13, 23, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,0
15:51:28 19/12/2020,7,433,5568373,"[1, 22, 6, 18, 12, 15, 16, 0, 8, 9, 17, 19, 20, 13, 23, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,1
15:51:28 19/12/2020,8,495,5568373,"[1, 22, 6, 18, 12, 15, 16, 0, 8, 9, 17, 19, 20, 13, 23, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,2
15:51:28 19/12/2020,9,557,5568373,"[1, 22, 6, 18, 12, 15, 16, 0, 8, 9, 17, 19, 20, 13, 23, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,3
15:51:28 19/12/2020,10,620,5568373,"[1, 22, 6, 18, 12, 15, 16, 0, 8, 9, 17, 19, 20, 13, 23, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,4
15:51:28 19/12/2020,11,683,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,0
15:51:29 19/12/2020,12,739,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,1
15:51:29 19/12/2020,13,800,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,2
15:51:29 19/12/2020,14,863,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,3
15:51:29 19/12/2020,15,926,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,4
15:51:29 19/12/2020,16,990,5543761,"[1, 22, 6, 18, 12, 23, 16, 0, 8, 9, 17, 19, 20, 13, 15, 14, 4, 10, 24, 3, 11, 5, 21, 7, 25, 2]",False,5
