Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:05:52 20/12/2020,1,60,5679877,"[21, 25, 2, 0, 12, 18, 7, 23, 16, 11, 4, 14, 8, 5, 22, 19, 15, 1, 13, 9, 3, 10, 20, 24, 6, 17]",False,0
18:05:53 20/12/2020,2,128,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",True,0
18:05:53 20/12/2020,3,195,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,1
18:05:53 20/12/2020,4,263,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,2
18:05:53 20/12/2020,5,330,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",True,3
18:05:53 20/12/2020,6,392,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,4
18:05:53 20/12/2020,7,455,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,5
18:05:53 20/12/2020,8,518,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,6
18:05:53 20/12/2020,9,585,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,7
18:05:53 20/12/2020,10,650,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",True,8
18:05:54 20/12/2020,11,714,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,9
18:05:54 20/12/2020,12,782,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,10
18:05:54 20/12/2020,13,845,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,11
18:05:54 20/12/2020,14,909,5422848,"[13, 5, 1, 25, 2, 16, 10, 8, 6, 7, 17, 18, 19, 11, 3, 0, 4, 20, 14, 23, 15, 21, 22, 12, 24, 9]",False,12
