Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
19:48:07 28/12/2020,1,62,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",True,0
19:48:07 28/12/2020,2,126,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",False,1
19:48:08 28/12/2020,3,190,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",True,2
19:48:08 28/12/2020,4,258,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",True,3
19:48:08 28/12/2020,5,319,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",False,4
19:48:08 28/12/2020,6,383,5463707,"[16, 14, 11, 23, 6, 25, 24, 15, 5, 2, 19, 4, 17, 18, 21, 20, 0, 8, 13, 22, 10, 9, 7, 3, 1, 12]",False,5
19:48:08 28/12/2020,7,445,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",True,0
19:48:09 28/12/2020,8,509,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",True,1
19:48:09 28/12/2020,9,569,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",True,2
19:48:09 28/12/2020,10,634,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",True,3
19:48:09 28/12/2020,11,698,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",False,4
19:48:09 28/12/2020,12,762,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",False,5
19:48:10 28/12/2020,13,821,5440280,"[16, 14, 22, 3, 15, 24, 21, 5, 11, 20, 0, 4, 8, 19, 6, 13, 17, 18, 2, 25, 10, 23, 7, 9, 1, 12]",False,6
19:48:10 28/12/2020,14,886,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",True,0
19:48:10 28/12/2020,15,949,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",True,1
19:48:10 28/12/2020,16,1014,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",False,2
19:48:10 28/12/2020,17,1078,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",True,3
19:48:11 28/12/2020,18,1142,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",True,4
19:48:11 28/12/2020,19,1202,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",False,5
19:48:11 28/12/2020,20,1265,5427995,"[2, 11, 6, 3, 15, 24, 14, 8, 25, 7, 12, 17, 18, 19, 1, 0, 4, 20, 13, 21, 23, 9, 5, 16, 10, 22]",False,6
19:48:11 28/12/2020,21,1330,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",True,0
19:48:11 28/12/2020,22,1393,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,1
19:48:12 28/12/2020,23,1457,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",True,2
19:48:12 28/12/2020,24,1519,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,3
19:48:12 28/12/2020,25,1586,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",True,4
19:48:12 28/12/2020,26,1647,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,5
19:48:12 28/12/2020,27,1711,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,6
19:48:12 28/12/2020,28,1773,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,7
19:48:12 28/12/2020,29,1837,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",False,8
19:48:13 28/12/2020,30,1900,5427467,"[1, 11, 6, 5, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 15, 9, 24, 10, 22]",True,9
19:48:13 28/12/2020,31,1960,5426101,"[15, 24, 0, 16, 6, 11, 23, 12, 21, 17, 20, 8, 4, 14, 1, 5, 2, 19, 18, 9, 10, 22, 7, 25, 13, 3]",True,0
19:48:13 28/12/2020,32,2023,5424174,"[15, 11, 6, 1, 2, 14, 0, 7, 16, 8, 12, 17, 18, 19, 23, 25, 4, 20, 13, 21, 3, 5, 9, 24, 10, 22]",False,0
19:48:13 28/12/2020,33,2087,5421087,"[8, 0, 9, 16, 23, 6, 3, 11, 12, 2, 20, 4, 13, 14, 1, 15, 19, 17, 18, 24, 22, 7, 10, 25, 21, 5]",True,0
19:48:13 28/12/2020,34,2147,5418467,"[6, 14, 9, 1, 0, 5, 11, 13, 3, 15, 20, 4, 18, 8, 16, 12, 19, 17, 2, 22, 10, 7, 24, 25, 23, 21]",False,0
19:48:13 28/12/2020,35,2210,5418467,"[6, 14, 9, 1, 0, 5, 11, 13, 3, 15, 20, 4, 18, 8, 16, 12, 19, 17, 2, 22, 10, 7, 24, 25, 23, 21]",False,1
19:48:13 28/12/2020,36,2269,5418467,"[6, 14, 9, 1, 0, 5, 11, 13, 3, 15, 20, 4, 18, 8, 16, 12, 19, 17, 2, 22, 10, 7, 24, 25, 23, 21]",False,2
19:48:14 28/12/2020,37,2334,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",True,0
19:48:14 28/12/2020,38,2398,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",True,1
19:48:14 28/12/2020,39,2459,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",False,2
19:48:14 28/12/2020,40,2526,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",False,3
19:48:14 28/12/2020,41,2590,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",False,4
19:48:14 28/12/2020,42,2652,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",False,5
19:48:14 28/12/2020,43,2709,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",False,6
19:48:15 28/12/2020,44,2775,5404005,"[24, 0, 23, 1, 14, 12, 3, 11, 2, 15, 8, 4, 20, 13, 16, 6, 19, 17, 18, 9, 10, 7, 22, 25, 5, 21]",True,7
