Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:52:03 19/12/2020,1,55,4050447,"[24, 9, 2, 23, 12, 21, 0, 22, 18, 14, 11, 19, 3, 4, 8, 20, 7, 25, 17, 6, 13, 16, 15, 5, 10, 1]",False,0
15:52:03 19/12/2020,2,115,4029433,"[24, 19, 11, 17, 7, 10, 9, 3, 8, 23, 0, 12, 13, 15, 22, 2, 14, 20, 4, 6, 21, 1, 25, 5, 18, 16]",False,0
15:52:03 19/12/2020,3,174,4029433,"[24, 19, 11, 17, 7, 10, 9, 3, 8, 23, 0, 12, 13, 15, 22, 2, 14, 20, 4, 6, 21, 1, 25, 5, 18, 16]",False,1
15:52:03 19/12/2020,4,237,3948087,"[6, 15, 11, 2, 18, 7, 9, 3, 8, 23, 0, 19, 14, 24, 10, 16, 4, 13, 20, 5, 21, 22, 12, 1, 25, 17]",False,0
15:52:03 19/12/2020,5,301,3948087,"[6, 15, 11, 2, 18, 7, 9, 3, 8, 23, 0, 19, 14, 24, 10, 16, 4, 13, 20, 5, 21, 22, 12, 1, 25, 17]",False,1
15:52:03 19/12/2020,6,361,3948087,"[6, 15, 11, 2, 18, 7, 9, 3, 8, 23, 0, 19, 14, 24, 10, 16, 4, 13, 20, 5, 21, 22, 12, 1, 25, 17]",False,2
15:52:03 19/12/2020,7,426,3948087,"[6, 15, 11, 2, 18, 7, 9, 3, 8, 23, 0, 19, 14, 24, 10, 16, 4, 13, 20, 5, 21, 22, 12, 1, 25, 17]",False,3
15:52:03 19/12/2020,8,491,3948087,"[6, 15, 11, 2, 18, 7, 9, 3, 8, 23, 0, 19, 14, 24, 10, 16, 4, 13, 20, 5, 21, 22, 12, 1, 25, 17]",False,4
15:52:03 19/12/2020,9,559,3934606,"[1, 12, 11, 2, 18, 0, 9, 3, 8, 23, 16, 6, 14, 24, 10, 7, 4, 13, 20, 19, 21, 17, 15, 5, 25, 22]",False,0
15:52:03 19/12/2020,10,620,3913953,"[17, 3, 11, 2, 18, 7, 23, 10, 8, 14, 0, 15, 9, 19, 24, 25, 4, 13, 20, 5, 21, 22, 12, 1, 16, 6]",False,0
15:52:04 19/12/2020,11,687,3913953,"[17, 3, 11, 2, 18, 7, 23, 10, 8, 14, 0, 15, 9, 19, 24, 25, 4, 13, 20, 5, 21, 22, 12, 1, 16, 6]",True,1
15:52:04 19/12/2020,12,749,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,0
15:52:04 19/12/2020,13,808,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,1
15:52:04 19/12/2020,14,870,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,2
15:52:04 19/12/2020,15,933,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,3
15:52:04 19/12/2020,16,991,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,4
15:52:04 19/12/2020,17,1051,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,5
15:52:04 19/12/2020,18,1112,3866051,"[6, 12, 11, 2, 24, 7, 9, 3, 8, 23, 15, 19, 14, 17, 18, 10, 4, 13, 20, 5, 21, 22, 25, 1, 16, 0]",False,6
