Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:11:44 20/12/2020,1,63,4027356,"[11, 13, 1, 24, 0, 21, 15, 20, 23, 14, 17, 19, 7, 8, 2, 25, 5, 18, 4, 16, 3, 10, 9, 22, 6, 12]",True,0
18:11:44 20/12/2020,2,125,3997868,"[11, 22, 16, 15, 10, 21, 3, 25, 8, 20, 1, 0, 18, 14, 19, 17, 13, 24, 4, 5, 9, 7, 2, 6, 12, 23]",False,0
18:11:44 20/12/2020,3,194,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,0
18:11:44 20/12/2020,4,260,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,1
18:11:44 20/12/2020,5,325,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,2
18:11:44 20/12/2020,6,385,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,3
18:11:45 20/12/2020,7,448,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,4
18:11:45 20/12/2020,8,512,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,5
18:11:45 20/12/2020,9,574,3928643,"[3, 5, 19, 6, 1, 11, 12, 10, 18, 21, 14, 20, 8, 4, 0, 17, 13, 24, 9, 7, 15, 22, 25, 16, 2, 23]",False,6
18:11:45 20/12/2020,10,642,3918929,"[15, 5, 22, 7, 1, 11, 12, 25, 3, 20, 21, 10, 14, 4, 0, 17, 13, 8, 18, 19, 6, 9, 24, 16, 2, 23]",False,0
18:11:45 20/12/2020,11,701,3892897,"[10, 5, 24, 14, 1, 11, 12, 3, 9, 21, 15, 20, 8, 4, 0, 17, 13, 7, 18, 19, 6, 25, 22, 16, 2, 23]",False,0
18:11:45 20/12/2020,12,764,3892897,"[10, 5, 24, 14, 1, 11, 12, 3, 9, 21, 15, 20, 8, 4, 0, 17, 13, 7, 18, 19, 6, 25, 22, 16, 2, 23]",False,1
18:11:45 20/12/2020,13,824,3884879,"[10, 5, 24, 15, 0, 11, 12, 3, 9, 21, 14, 20, 8, 4, 1, 17, 13, 7, 18, 19, 6, 25, 22, 16, 2, 23]",True,0
18:11:45 20/12/2020,14,885,3882790,"[10, 5, 24, 15, 1, 11, 12, 3, 9, 21, 14, 20, 8, 4, 0, 17, 13, 7, 18, 19, 6, 25, 22, 16, 2, 23]",False,0
18:11:45 20/12/2020,15,948,3882790,"[10, 5, 24, 15, 1, 11, 12, 3, 9, 21, 14, 20, 8, 4, 0, 17, 13, 7, 18, 19, 6, 25, 22, 16, 2, 23]",False,1
