Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:53:40 19/12/2020,1,61,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,0
15:53:40 19/12/2020,2,124,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,1
15:53:41 19/12/2020,3,185,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,2
15:53:41 19/12/2020,4,248,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,3
15:53:41 19/12/2020,5,314,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,4
15:53:41 19/12/2020,6,374,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",True,5
15:53:41 19/12/2020,7,437,10438196,"[11, 5, 7, 22, 10, 20, 25, 0, 23, 8, 12, 18, 13, 19, 9, 1, 4, 14, 17, 16, 21, 3, 2, 15, 6, 24]",False,6
15:53:41 19/12/2020,8,496,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",True,0
15:53:41 19/12/2020,9,562,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,1
15:53:41 19/12/2020,10,625,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,2
15:53:41 19/12/2020,11,686,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,3
15:53:41 19/12/2020,12,747,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,4
15:53:42 19/12/2020,13,809,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",True,5
15:53:42 19/12/2020,14,876,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,6
15:53:42 19/12/2020,15,939,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,7
15:53:42 19/12/2020,16,997,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,8
15:53:42 19/12/2020,17,1062,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,9
15:53:42 19/12/2020,18,1123,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",True,10
15:53:42 19/12/2020,19,1186,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,11
15:53:42 19/12/2020,20,1247,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,12
15:53:42 19/12/2020,21,1313,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,13
15:53:42 19/12/2020,22,1378,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,14
15:53:42 19/12/2020,23,1440,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,15
15:53:42 19/12/2020,24,1499,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,16
15:53:42 19/12/2020,25,1561,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,17
15:53:42 19/12/2020,26,1624,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,18
15:53:43 19/12/2020,27,1689,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,19
15:53:43 19/12/2020,28,1751,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",True,20
15:53:43 19/12/2020,29,1811,10229519,"[22, 13, 15, 1, 21, 24, 20, 7, 5, 8, 18, 2, 3, 19, 10, 14, 0, 17, 4, 12, 11, 16, 6, 25, 23, 9]",False,21
15:53:43 19/12/2020,30,1873,10229089,"[1, 17, 11, 2, 5, 16, 9, 0, 7, 10, 3, 19, 13, 8, 15, 20, 6, 4, 18, 21, 22, 25, 12, 23, 24, 14]",False,0
15:53:43 19/12/2020,31,1936,10227424,"[1, 17, 11, 2, 5, 16, 9, 0, 7, 20, 3, 19, 13, 8, 15, 10, 6, 4, 18, 21, 22, 25, 12, 23, 24, 14]",False,0
15:53:43 19/12/2020,32,1996,10220083,"[10, 22, 11, 2, 17, 20, 9, 0, 7, 1, 3, 19, 13, 8, 5, 14, 6, 4, 18, 15, 21, 25, 12, 24, 23, 16]",False,0
15:53:43 19/12/2020,33,2059,10220083,"[10, 22, 11, 2, 17, 20, 9, 0, 7, 1, 3, 19, 13, 8, 5, 14, 6, 4, 18, 15, 21, 25, 12, 24, 23, 16]",False,1
15:53:43 19/12/2020,34,2125,10220083,"[10, 22, 11, 2, 17, 20, 9, 0, 7, 1, 3, 19, 13, 8, 5, 14, 6, 4, 18, 15, 21, 25, 12, 24, 23, 16]",True,2
15:53:43 19/12/2020,35,2181,10220083,"[10, 22, 11, 2, 17, 20, 9, 0, 7, 1, 3, 19, 13, 8, 5, 14, 6, 4, 18, 15, 21, 25, 12, 24, 23, 16]",False,3
15:53:43 19/12/2020,36,2242,10216794,"[1, 24, 11, 2, 17, 20, 5, 0, 7, 14, 3, 19, 13, 8, 15, 10, 6, 4, 18, 21, 22, 25, 12, 23, 9, 16]",True,0
15:53:44 19/12/2020,37,2306,10216794,"[1, 24, 11, 2, 17, 20, 5, 0, 7, 14, 3, 19, 13, 8, 15, 10, 6, 4, 18, 21, 22, 25, 12, 23, 9, 16]",False,1
15:53:44 19/12/2020,38,2368,10216794,"[1, 24, 11, 2, 17, 20, 5, 0, 7, 14, 3, 19, 13, 8, 15, 10, 6, 4, 18, 21, 22, 25, 12, 23, 9, 16]",False,2
15:53:44 19/12/2020,39,2433,10216794,"[1, 24, 11, 2, 17, 20, 5, 0, 7, 14, 3, 19, 13, 8, 15, 10, 6, 4, 18, 21, 22, 25, 12, 23, 9, 16]",False,3
15:53:44 19/12/2020,40,2501,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",True,0
15:53:44 19/12/2020,41,2563,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,1
15:53:44 19/12/2020,42,2629,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,2
15:53:44 19/12/2020,43,2692,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,3
15:53:44 19/12/2020,44,2754,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,4
15:53:44 19/12/2020,45,2816,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,5
15:53:44 19/12/2020,46,2875,10195073,"[10, 15, 13, 7, 6, 23, 9, 0, 20, 8, 3, 19, 11, 17, 5, 14, 2, 4, 18, 21, 22, 25, 12, 16, 1, 24]",False,6
