Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:16:23 20/12/2020,1,62,10603312,"[14, 9, 7, 8, 21, 6, 16, 25, 2, 18, 17, 13, 11, 24, 3, 0, 23, 19, 4, 1, 22, 15, 5, 20, 10, 12]",False,0
18:16:23 20/12/2020,2,126,10513133,"[1, 10, 12, 21, 24, 14, 7, 25, 2, 18, 17, 13, 0, 3, 9, 23, 22, 6, 4, 15, 16, 19, 11, 5, 8, 20]",True,0
18:16:23 20/12/2020,3,190,10513133,"[1, 10, 12, 21, 24, 14, 7, 25, 2, 18, 17, 13, 0, 3, 9, 23, 22, 6, 4, 15, 16, 19, 11, 5, 8, 20]",False,1
18:16:23 20/12/2020,4,253,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",True,0
18:16:23 20/12/2020,5,316,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,1
18:16:23 20/12/2020,6,378,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,2
18:16:24 20/12/2020,7,440,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,3
18:16:24 20/12/2020,8,500,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,4
18:16:24 20/12/2020,9,555,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,5
18:16:24 20/12/2020,10,613,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,6
18:16:24 20/12/2020,11,677,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,7
18:16:24 20/12/2020,12,736,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,8
18:16:24 20/12/2020,13,795,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",True,9
18:16:24 20/12/2020,14,856,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,10
18:16:24 20/12/2020,15,919,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,11
18:16:24 20/12/2020,16,983,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",True,12
18:16:25 20/12/2020,17,1044,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,13
18:16:25 20/12/2020,18,1107,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,14
18:16:25 20/12/2020,19,1167,10287390,"[13, 6, 18, 7, 21, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 10, 5, 9, 1]",False,15
18:16:25 20/12/2020,20,1229,10282830,"[13, 6, 18, 7, 10, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 21, 5, 1, 9]",True,0
18:16:25 20/12/2020,21,1292,10282830,"[13, 6, 18, 7, 10, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 21, 5, 1, 9]",False,1
18:16:25 20/12/2020,22,1350,10282830,"[13, 6, 18, 7, 10, 16, 24, 25, 15, 14, 20, 19, 3, 17, 12, 0, 8, 2, 4, 11, 23, 22, 21, 5, 1, 9]",False,2
18:16:25 20/12/2020,23,1409,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",True,0
18:16:25 20/12/2020,24,1470,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,1
18:16:25 20/12/2020,25,1529,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,2
18:16:25 20/12/2020,26,1593,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,3
18:16:26 20/12/2020,27,1657,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,4
18:16:26 20/12/2020,28,1724,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,5
18:16:26 20/12/2020,29,1784,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,6
18:16:26 20/12/2020,30,1846,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,7
18:16:26 20/12/2020,31,1907,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,8
18:16:26 20/12/2020,32,1972,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,9
18:16:26 20/12/2020,33,2031,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,10
18:16:26 20/12/2020,34,2095,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,11
18:16:26 20/12/2020,35,2156,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,12
18:16:26 20/12/2020,36,2216,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,13
18:16:26 20/12/2020,37,2277,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,14
18:16:26 20/12/2020,38,2339,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,15
18:16:26 20/12/2020,39,2403,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,16
18:16:27 20/12/2020,40,2465,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,17
18:16:27 20/12/2020,41,2520,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",False,18
18:16:27 20/12/2020,42,2584,10211273,"[15, 12, 18, 21, 10, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 9, 8, 2, 4, 13, 5, 7, 25, 22, 16, 1]",True,19
18:16:27 20/12/2020,43,2650,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,0
18:16:27 20/12/2020,44,2715,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,1
18:16:27 20/12/2020,45,2779,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,2
18:16:27 20/12/2020,46,2839,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,3
18:16:27 20/12/2020,47,2903,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,4
18:16:27 20/12/2020,48,2962,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,5
18:16:27 20/12/2020,49,3028,10208148,"[13, 17, 15, 2, 21, 1, 8, 25, 24, 14, 7, 6, 19, 3, 12, 20, 0, 18, 4, 11, 23, 22, 10, 5, 9, 16]",False,6
18:16:27 20/12/2020,50,3089,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,0
18:16:28 20/12/2020,51,3155,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,1
18:16:28 20/12/2020,52,3214,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,2
18:16:28 20/12/2020,53,3276,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,3
18:16:28 20/12/2020,54,3334,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,4
18:16:28 20/12/2020,55,3390,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,5
18:16:28 20/12/2020,56,3450,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",True,6
18:16:28 20/12/2020,57,3515,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,7
18:16:28 20/12/2020,58,3577,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,8
18:16:28 20/12/2020,59,3645,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,9
18:16:28 20/12/2020,60,3704,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,10
18:16:28 20/12/2020,61,3771,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,11
18:16:29 20/12/2020,62,3828,10170122,"[15, 12, 2, 21, 9, 14, 24, 23, 0, 20, 11, 17, 3, 19, 6, 7, 8, 18, 4, 13, 5, 10, 25, 22, 16, 1]",False,12
18:16:29 20/12/2020,63,3888,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",True,0
18:16:29 20/12/2020,64,3945,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,1
18:16:29 20/12/2020,65,4008,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,2
18:16:29 20/12/2020,66,4072,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",True,3
18:16:29 20/12/2020,67,4135,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,4
18:16:29 20/12/2020,68,4198,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,5
18:16:29 20/12/2020,69,4259,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,6
18:16:29 20/12/2020,70,4322,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,7
18:16:29 20/12/2020,71,4384,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,8
18:16:30 20/12/2020,72,4442,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,9
18:16:30 20/12/2020,73,4507,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,10
18:16:30 20/12/2020,74,4569,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,11
18:16:30 20/12/2020,75,4634,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,12
18:16:30 20/12/2020,76,4695,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,13
18:16:30 20/12/2020,77,4762,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,14
18:16:30 20/12/2020,78,4828,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",True,15
18:16:30 20/12/2020,79,4897,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,16
18:16:30 20/12/2020,80,4959,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,17
18:16:30 20/12/2020,81,5019,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,18
18:16:30 20/12/2020,82,5076,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,19
18:16:31 20/12/2020,83,5137,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,20
18:16:31 20/12/2020,84,5203,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,21
18:16:31 20/12/2020,85,5264,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,22
18:16:31 20/12/2020,86,5328,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,23
18:16:31 20/12/2020,87,5386,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,24
18:16:31 20/12/2020,88,5450,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,25
18:16:31 20/12/2020,89,5508,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,26
18:16:31 20/12/2020,90,5572,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",True,27
18:16:31 20/12/2020,91,5633,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,28
18:16:31 20/12/2020,92,5696,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,29
18:16:31 20/12/2020,93,5761,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,30
18:16:31 20/12/2020,94,5821,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,31
18:16:32 20/12/2020,95,5885,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",True,32
18:16:32 20/12/2020,96,5950,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,33
18:16:32 20/12/2020,97,6009,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,34
18:16:32 20/12/2020,98,6072,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,35
18:16:32 20/12/2020,99,6137,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,36
18:16:32 20/12/2020,100,6197,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,37
18:16:32 20/12/2020,101,6259,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,38
18:16:32 20/12/2020,102,6325,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,39
18:16:32 20/12/2020,103,6391,10138439,"[22, 12, 10, 21, 6, 23, 24, 9, 0, 20, 17, 11, 3, 19, 1, 14, 18, 8, 4, 13, 5, 15, 25, 2, 16, 7]",False,40
18:16:32 20/12/2020,104,6451,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,0
18:16:32 20/12/2020,105,6519,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,1
18:16:33 20/12/2020,106,6586,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,2
18:16:33 20/12/2020,107,6646,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,3
18:16:33 20/12/2020,108,6710,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,4
18:16:33 20/12/2020,109,6774,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,5
18:16:33 20/12/2020,110,6834,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,6
18:16:33 20/12/2020,111,6895,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,7
18:16:33 20/12/2020,112,6963,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,8
18:16:33 20/12/2020,113,7026,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,9
18:16:33 20/12/2020,114,7084,10136230,"[22, 12, 10, 21, 6, 23, 9, 14, 0, 20, 17, 11, 3, 19, 1, 7, 18, 8, 4, 13, 5, 15, 25, 2, 16, 24]",False,10
