Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:54:31 19/12/2020,1,56,7542226,"[15, 25, 23, 1, 11, 0, 18, 8, 24, 12, 16, 5, 4, 19, 10, 14, 6, 13, 2, 3, 9, 20, 7, 21, 22, 17]",False,0
15:54:32 19/12/2020,2,117,7542226,"[15, 25, 23, 1, 11, 0, 18, 8, 24, 12, 16, 5, 4, 19, 10, 14, 6, 13, 2, 3, 9, 20, 7, 21, 22, 17]",False,1
15:54:32 19/12/2020,3,181,7489983,"[6, 23, 22, 7, 18, 0, 24, 1, 15, 20, 21, 10, 13, 25, 19, 9, 4, 14, 17, 2, 5, 3, 11, 16, 12, 8]",False,0
15:54:32 19/12/2020,4,244,7489983,"[6, 23, 22, 7, 18, 0, 24, 1, 15, 20, 21, 10, 13, 25, 19, 9, 4, 14, 17, 2, 5, 3, 11, 16, 12, 8]",False,1
15:54:32 19/12/2020,5,308,7489983,"[6, 23, 22, 7, 18, 0, 24, 1, 15, 20, 21, 10, 13, 25, 19, 9, 4, 14, 17, 2, 5, 3, 11, 16, 12, 8]",False,2
15:54:32 19/12/2020,6,368,7489983,"[6, 23, 22, 7, 18, 0, 24, 1, 15, 20, 21, 10, 13, 25, 19, 9, 4, 14, 17, 2, 5, 3, 11, 16, 12, 8]",False,3
15:54:32 19/12/2020,7,426,7444797,"[8, 6, 2, 1, 19, 14, 12, 0, 20, 15, 18, 7, 3, 5, 21, 10, 11, 4, 13, 22, 24, 9, 17, 25, 16, 23]",False,0
15:54:32 19/12/2020,8,487,7444797,"[8, 6, 2, 1, 19, 14, 12, 0, 20, 15, 18, 7, 3, 5, 21, 10, 11, 4, 13, 22, 24, 9, 17, 25, 16, 23]",False,1
15:54:32 19/12/2020,9,550,7444797,"[8, 6, 2, 1, 19, 14, 12, 0, 20, 15, 18, 7, 3, 5, 21, 10, 11, 4, 13, 22, 24, 9, 17, 25, 16, 23]",False,2
15:54:32 19/12/2020,10,613,7410578,"[8, 6, 24, 1, 19, 14, 18, 0, 20, 5, 15, 2, 3, 12, 21, 10, 11, 4, 13, 22, 7, 9, 17, 25, 16, 23]",False,0
15:54:32 19/12/2020,11,672,7366504,"[13, 7, 11, 16, 10, 14, 5, 0, 20, 18, 15, 21, 3, 12, 2, 25, 17, 1, 4, 19, 9, 22, 6, 24, 8, 23]",False,0
