Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:27:14 20/12/2020,1,61,10468,"[15, 21, 10, 13, 8, 1, 5, 0, 18, 2, 19, 17, 7, 12, 9, 4, 6, 11, 3, 20, 14, 16]",False,0
18:27:14 20/12/2020,2,121,10468,"[15, 21, 10, 13, 8, 1, 5, 0, 18, 2, 19, 17, 7, 12, 9, 4, 6, 11, 3, 20, 14, 16]",False,1
18:27:14 20/12/2020,3,183,10272,"[5, 3, 11, 19, 0, 2, 16, 10, 17, 18, 20, 14, 4, 6, 8, 9, 12, 13, 1, 21, 7, 15]",False,0
18:27:14 20/12/2020,4,245,10272,"[5, 3, 11, 19, 0, 2, 16, 10, 17, 18, 20, 14, 4, 6, 8, 9, 12, 13, 1, 21, 7, 15]",False,1
18:27:14 20/12/2020,5,304,10272,"[5, 3, 11, 19, 0, 2, 16, 10, 17, 18, 20, 14, 4, 6, 8, 9, 12, 13, 1, 21, 7, 15]",False,2
18:27:14 20/12/2020,6,358,10272,"[5, 3, 11, 19, 0, 2, 16, 10, 17, 18, 20, 14, 4, 6, 8, 9, 12, 13, 1, 21, 7, 15]",False,3
18:27:14 20/12/2020,7,414,9458,"[5, 1, 2, 11, 9, 20, 8, 12, 3, 10, 14, 19, 17, 6, 4, 0, 21, 13, 15, 16, 18, 7]",False,0
18:27:14 20/12/2020,8,479,9458,"[5, 1, 2, 11, 9, 20, 8, 12, 3, 10, 14, 19, 17, 6, 4, 0, 21, 13, 15, 16, 18, 7]",False,1
18:27:14 20/12/2020,9,539,9458,"[5, 1, 2, 11, 9, 20, 8, 12, 3, 10, 14, 19, 17, 6, 4, 0, 21, 13, 15, 16, 18, 7]",False,2
18:27:15 20/12/2020,10,603,7972,"[3, 9, 12, 11, 16, 2, 20, 1, 17, 15, 14, 19, 0, 6, 4, 5, 21, 13, 10, 8, 18, 7]",True,0
18:27:15 20/12/2020,11,666,7972,"[3, 9, 12, 11, 16, 2, 20, 1, 17, 15, 14, 19, 0, 6, 4, 5, 21, 13, 10, 8, 18, 7]",False,1
18:27:15 20/12/2020,12,732,7972,"[3, 9, 12, 11, 16, 2, 20, 1, 17, 15, 14, 19, 0, 6, 4, 5, 21, 13, 10, 8, 18, 7]",False,2
18:27:15 20/12/2020,13,797,7972,"[3, 9, 12, 11, 16, 2, 20, 1, 17, 15, 14, 19, 0, 6, 4, 5, 21, 13, 10, 8, 18, 7]",True,3
