Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:40:53 28/12/2020,1,60,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",True,0
15:40:53 28/12/2020,2,120,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",True,1
15:40:53 28/12/2020,3,178,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,2
15:40:53 28/12/2020,4,236,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,3
15:40:54 28/12/2020,5,300,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,4
15:40:54 28/12/2020,6,361,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",True,5
15:40:54 28/12/2020,7,422,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,6
15:40:54 28/12/2020,8,483,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,7
15:40:54 28/12/2020,9,542,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,8
15:40:54 28/12/2020,10,605,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,9
15:40:54 28/12/2020,11,670,7956,"[13, 3, 14, 2, 21, 9, 15, 7, 0, 6, 10, 1, 11, 20, 4, 16, 12, 17, 18, 19, 5, 8]",False,10
