Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:24:30 29/12/2020,1,30,11510,"[6, 17, 16, 4, 20, 11, 0, 14, 18, 7, 15, 13, 1, 5, 8, 10, 21, 12, 3, 2, 9, 19]",False,0
17:24:30 29/12/2020,2,60,11510,"[6, 17, 16, 4, 20, 11, 0, 14, 18, 7, 15, 13, 1, 5, 8, 10, 21, 12, 3, 2, 9, 19]",False,1
17:24:30 29/12/2020,3,90,11510,"[6, 17, 16, 4, 20, 11, 0, 14, 18, 7, 15, 13, 1, 5, 8, 10, 21, 12, 3, 2, 9, 19]",False,2
17:24:30 29/12/2020,4,119,11510,"[6, 17, 16, 4, 20, 11, 0, 14, 18, 7, 15, 13, 1, 5, 8, 10, 21, 12, 3, 2, 9, 19]",False,3
17:24:30 29/12/2020,5,149,11510,"[6, 17, 16, 4, 20, 11, 0, 14, 18, 7, 15, 13, 1, 5, 8, 10, 21, 12, 3, 2, 9, 19]",False,4
17:24:30 29/12/2020,6,175,11176,"[7, 13, 8, 3, 19, 11, 9, 2, 0, 10, 1, 15, 17, 6, 20, 18, 21, 4, 16, 5, 14, 12]",False,0
17:24:30 29/12/2020,7,206,10568,"[7, 13, 8, 3, 19, 11, 9, 2, 0, 10, 1, 15, 17, 6, 21, 5, 16, 12, 20, 18, 14, 4]",False,0
17:24:30 29/12/2020,8,237,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",True,0
17:24:30 29/12/2020,9,266,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,1
17:24:30 29/12/2020,10,299,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,2
17:24:30 29/12/2020,11,330,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,3
17:24:31 29/12/2020,12,364,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,4
17:24:31 29/12/2020,13,394,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,5
17:24:31 29/12/2020,14,427,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,6
17:24:31 29/12/2020,15,459,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,7
17:24:31 29/12/2020,16,492,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,8
17:24:31 29/12/2020,17,520,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,9
17:24:31 29/12/2020,18,545,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,10
17:24:31 29/12/2020,19,574,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,11
17:24:31 29/12/2020,20,601,9124,"[17, 1, 0, 6, 18, 2, 8, 7, 10, 5, 19, 14, 13, 3, 21, 20, 16, 12, 15, 9, 4, 11]",False,12
17:24:31 29/12/2020,21,634,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",True,0
17:24:31 29/12/2020,22,662,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,1
17:24:31 29/12/2020,23,694,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,2
17:24:31 29/12/2020,24,725,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,3
17:24:31 29/12/2020,25,753,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,4
17:24:31 29/12/2020,26,783,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,5
17:24:31 29/12/2020,27,811,8866,"[7, 13, 4, 3, 15, 11, 9, 2, 0, 20, 16, 19, 17, 6, 12, 5, 1, 21, 10, 18, 14, 8]",False,6
17:24:31 29/12/2020,28,843,8634,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 7, 6, 21, 9, 8, 15, 18, 19, 5, 11, 14, 2, 12]",False,0
17:24:31 29/12/2020,29,874,8634,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 7, 6, 21, 9, 8, 15, 18, 19, 5, 11, 14, 2, 12]",False,1
17:24:31 29/12/2020,30,903,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,0
17:24:31 29/12/2020,31,934,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,1
17:24:31 29/12/2020,32,965,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,2
17:24:31 29/12/2020,33,993,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,3
17:24:31 29/12/2020,34,1023,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,4
17:24:31 29/12/2020,35,1052,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,5
17:24:31 29/12/2020,36,1081,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,6
17:24:31 29/12/2020,37,1112,8578,"[3, 1, 0, 20, 17, 16, 13, 10, 4, 11, 6, 21, 9, 8, 15, 18, 19, 5, 7, 14, 2, 12]",False,7
17:24:31 29/12/2020,38,1142,8546,"[3, 16, 0, 20, 18, 1, 13, 10, 4, 7, 6, 21, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",False,0
17:24:31 29/12/2020,39,1172,8546,"[3, 16, 0, 20, 18, 1, 13, 10, 4, 7, 6, 21, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",False,1
17:24:31 29/12/2020,40,1203,8546,"[3, 16, 0, 20, 18, 1, 13, 10, 4, 7, 6, 21, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",False,2
17:24:31 29/12/2020,41,1236,8546,"[3, 16, 0, 20, 18, 1, 13, 10, 4, 7, 6, 21, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",False,3
17:24:31 29/12/2020,42,1264,8230,"[3, 16, 0, 20, 18, 1, 13, 10, 21, 7, 6, 4, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",True,0
17:24:31 29/12/2020,43,1296,8230,"[3, 16, 0, 20, 18, 1, 13, 10, 21, 7, 6, 4, 9, 8, 15, 17, 19, 5, 11, 14, 2, 12]",True,1
17:24:31 29/12/2020,44,1324,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,0
17:24:31 29/12/2020,45,1354,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,1
17:24:32 29/12/2020,46,1379,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,2
17:24:32 29/12/2020,47,1407,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,3
17:24:32 29/12/2020,48,1438,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",True,4
17:24:32 29/12/2020,49,1470,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,5
17:24:32 29/12/2020,50,1502,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,6
17:24:32 29/12/2020,51,1531,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,7
17:24:32 29/12/2020,52,1560,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,8
17:24:32 29/12/2020,53,1590,8136,"[5, 7, 1, 9, 21, 2, 18, 10, 3, 17, 20, 0, 12, 8, 13, 6, 15, 16, 11, 19, 14, 4]",False,9
17:24:32 29/12/2020,54,1621,8036,"[5, 21, 7, 9, 1, 2, 18, 10, 3, 8, 20, 0, 12, 17, 13, 6, 15, 16, 11, 19, 14, 4]",False,0
17:24:32 29/12/2020,55,1654,8036,"[5, 21, 7, 9, 1, 2, 18, 10, 3, 8, 20, 0, 12, 17, 13, 6, 15, 16, 11, 19, 14, 4]",False,1
17:24:32 29/12/2020,56,1683,8036,"[5, 21, 7, 9, 1, 2, 18, 10, 3, 8, 20, 0, 12, 17, 13, 6, 15, 16, 11, 19, 14, 4]",False,2
17:24:32 29/12/2020,57,1712,8036,"[5, 21, 7, 9, 1, 2, 18, 10, 3, 8, 20, 0, 12, 17, 13, 6, 15, 16, 11, 19, 14, 4]",False,3
