Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
20:21:30 22/12/2020,1,62,191039,"[22, 27, 17, 0, 24, 11, 9, 16, 13, 29, 14, 15, 26, 6, 2, 8, 28, 19, 18, 21, 23, 1, 25, 4, 20, 3, 5, 10, 7, 12]",True,0
20:21:30 22/12/2020,2,126,190038,"[1, 16, 27, 12, 2, 23, 7, 3, 26, 17, 11, 15, 28, 9, 8, 18, 19, 0, 24, 20, 6, 22, 21, 29, 13, 4, 10, 14, 25, 5]",False,0
20:21:30 22/12/2020,3,190,190038,"[1, 16, 27, 12, 2, 23, 7, 3, 26, 17, 11, 15, 28, 9, 8, 18, 19, 0, 24, 20, 6, 22, 21, 29, 13, 4, 10, 14, 25, 5]",False,1
20:21:30 22/12/2020,4,254,189293,"[14, 10, 0, 5, 3, 4, 18, 11, 6, 15, 24, 7, 23, 9, 27, 28, 2, 19, 1, 17, 26, 16, 8, 29, 13, 25, 20, 21, 12, 22]",False,0
20:21:31 22/12/2020,5,324,189260,"[1, 16, 10, 5, 17, 23, 25, 3, 26, 2, 11, 15, 28, 9, 8, 18, 19, 0, 24, 20, 6, 22, 21, 29, 13, 4, 27, 14, 7, 12]",False,0
20:21:31 22/12/2020,6,390,189260,"[1, 16, 10, 5, 17, 23, 25, 3, 26, 2, 11, 15, 28, 9, 8, 18, 19, 0, 24, 20, 6, 22, 21, 29, 13, 4, 27, 14, 7, 12]",False,1
20:21:31 22/12/2020,7,455,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,0
20:21:31 22/12/2020,8,515,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,1
20:21:31 22/12/2020,9,578,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,2
20:21:31 22/12/2020,10,641,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,3
20:21:31 22/12/2020,11,704,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,4
20:21:31 22/12/2020,12,770,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,5
20:21:31 22/12/2020,13,836,185280,"[14, 22, 7, 5, 3, 4, 13, 11, 6, 8, 24, 0, 12, 10, 27, 26, 2, 19, 1, 17, 28, 15, 16, 29, 18, 25, 20, 21, 23, 9]",False,6
20:21:31 22/12/2020,14,902,183680,"[14, 22, 7, 5, 3, 11, 13, 4, 6, 15, 24, 0, 12, 10, 19, 2, 28, 27, 1, 17, 26, 16, 8, 29, 18, 25, 20, 21, 23, 9]",False,0
20:21:32 22/12/2020,15,969,183680,"[14, 22, 7, 5, 3, 11, 13, 4, 6, 15, 24, 0, 12, 10, 19, 2, 28, 27, 1, 17, 26, 16, 8, 29, 18, 25, 20, 21, 23, 9]",False,1
20:21:32 22/12/2020,16,1032,183680,"[14, 22, 7, 5, 3, 11, 13, 4, 6, 15, 24, 0, 12, 10, 19, 2, 28, 27, 1, 17, 26, 16, 8, 29, 18, 25, 20, 21, 23, 9]",False,2
20:21:32 22/12/2020,17,1097,182007,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",True,0
20:21:32 22/12/2020,18,1162,182007,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,1
20:21:32 22/12/2020,19,1229,182007,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",True,2
20:21:32 22/12/2020,20,1294,182007,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,3
20:21:33 22/12/2020,21,1356,182007,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,4
20:21:33 22/12/2020,22,1418,181431,"[15, 22, 10, 5, 25, 11, 14, 13, 21, 3, 12, 7, 23, 2, 27, 29, 26, 4, 1, 17, 28, 19, 24, 20, 18, 9, 0, 8, 6, 16]",True,0
20:21:33 22/12/2020,23,1483,181431,"[15, 22, 10, 5, 25, 11, 14, 13, 21, 3, 12, 7, 23, 2, 27, 29, 26, 4, 1, 17, 28, 19, 24, 20, 18, 9, 0, 8, 6, 16]",False,1
20:21:33 22/12/2020,24,1546,181431,"[15, 22, 10, 5, 25, 11, 14, 13, 21, 3, 12, 7, 23, 2, 27, 29, 26, 4, 1, 17, 28, 19, 24, 20, 18, 9, 0, 8, 6, 16]",False,2
20:21:33 22/12/2020,25,1615,181431,"[15, 22, 10, 5, 25, 11, 14, 13, 21, 3, 12, 7, 23, 2, 27, 29, 26, 4, 1, 17, 28, 19, 24, 20, 18, 9, 0, 8, 6, 16]",False,3
20:21:33 22/12/2020,26,1678,181431,"[15, 22, 10, 5, 25, 11, 14, 13, 21, 3, 12, 7, 23, 2, 27, 29, 26, 4, 1, 17, 28, 19, 24, 20, 18, 9, 0, 8, 6, 16]",False,4
20:21:33 22/12/2020,27,1744,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,0
20:21:33 22/12/2020,28,1810,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,1
20:21:34 22/12/2020,29,1872,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,2
20:21:34 22/12/2020,30,1932,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,3
20:21:34 22/12/2020,31,1999,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,4
20:21:34 22/12/2020,32,2066,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,5
20:21:34 22/12/2020,33,2128,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,6
20:21:34 22/12/2020,34,2196,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,7
20:21:34 22/12/2020,35,2260,181218,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,8
20:21:34 22/12/2020,36,2321,180767,"[7, 22, 4, 5, 18, 3, 13, 6, 11, 15, 24, 0, 12, 2, 27, 29, 10, 19, 1, 17, 26, 16, 8, 28, 14, 25, 20, 21, 23, 9]",False,0
20:21:34 22/12/2020,37,2383,180767,"[7, 22, 4, 5, 18, 3, 13, 6, 11, 15, 24, 0, 12, 2, 27, 29, 10, 19, 1, 17, 26, 16, 8, 28, 14, 25, 20, 21, 23, 9]",False,1
20:21:34 22/12/2020,38,2447,180767,"[7, 22, 4, 5, 18, 3, 13, 6, 11, 15, 24, 0, 12, 2, 27, 29, 10, 19, 1, 17, 26, 16, 8, 28, 14, 25, 20, 21, 23, 9]",False,2
20:21:35 22/12/2020,39,2514,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",True,0
20:21:35 22/12/2020,40,2579,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,1
20:21:35 22/12/2020,41,2638,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,2
20:21:35 22/12/2020,42,2705,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,3
20:21:35 22/12/2020,43,2771,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,4
20:21:35 22/12/2020,44,2836,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,5
20:21:36 22/12/2020,45,2900,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",True,6
20:21:36 22/12/2020,46,2964,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,7
20:21:36 22/12/2020,47,3026,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,8
20:21:36 22/12/2020,48,3087,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,9
20:21:36 22/12/2020,49,3148,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,10
20:21:36 22/12/2020,50,3217,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,11
20:21:36 22/12/2020,51,3282,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,12
20:21:37 22/12/2020,52,3348,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,13
20:21:37 22/12/2020,53,3412,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,14
20:21:37 22/12/2020,54,3478,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,15
20:21:37 22/12/2020,55,3544,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",True,16
20:21:37 22/12/2020,56,3607,180555,"[14, 22, 7, 5, 23, 26, 16, 11, 6, 13, 24, 0, 12, 10, 27, 28, 2, 19, 1, 17, 20, 3, 8, 29, 18, 15, 4, 21, 25, 9]",False,17
20:21:38 22/12/2020,57,3669,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",True,0
20:21:38 22/12/2020,58,3738,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",True,1
20:21:38 22/12/2020,59,3801,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,2
20:21:38 22/12/2020,60,3863,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,3
20:21:38 22/12/2020,61,3928,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",True,4
20:21:38 22/12/2020,62,3990,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,5
20:21:39 22/12/2020,63,4055,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,6
20:21:39 22/12/2020,64,4119,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,7
20:21:39 22/12/2020,65,4184,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,8
20:21:39 22/12/2020,66,4252,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",True,9
20:21:39 22/12/2020,67,4317,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,10
20:21:39 22/12/2020,68,4377,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,11
20:21:39 22/12/2020,69,4445,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,12
20:21:40 22/12/2020,70,4510,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,13
20:21:40 22/12/2020,71,4573,179492,"[14, 22, 7, 5, 18, 3, 19, 20, 11, 26, 24, 0, 12, 2, 27, 25, 10, 13, 1, 17, 15, 16, 8, 9, 28, 29, 6, 21, 23, 4]",False,14
