Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:57:43 28/12/2020,1,67,388,"[23, 24, 1, 27, 30, 10, 0, 8, 6, 20, 16, 21, 9, 14, 5, 3, 28, 29, 18, 17, 25, 4, 15, 31, 26, 12, 22, 13, 2, 19, 11, 7]",False,0
15:57:43 28/12/2020,2,135,388,"[23, 24, 1, 27, 30, 10, 0, 8, 6, 20, 16, 21, 9, 14, 5, 3, 28, 29, 18, 17, 25, 4, 15, 31, 26, 12, 22, 13, 2, 19, 11, 7]",True,1
15:57:43 28/12/2020,3,199,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",True,0
15:57:43 28/12/2020,4,266,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,1
15:57:44 28/12/2020,5,331,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,2
15:57:44 28/12/2020,6,393,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,3
15:57:44 28/12/2020,7,460,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",True,4
15:57:44 28/12/2020,8,525,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,5
15:57:44 28/12/2020,9,589,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,6
15:57:44 28/12/2020,10,654,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,7
15:57:44 28/12/2020,11,718,288,"[11, 2, 13, 9, 1, 17, 14, 10, 30, 29, 26, 31, 4, 8, 12, 28, 24, 25, 0, 18, 16, 21, 22, 27, 20, 6, 5, 15, 3, 7, 23, 19]",False,8
