Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:25:54 29/12/2020,1,35,408,"[11, 2, 14, 25, 26, 18, 4, 3, 5, 17, 20, 8, 24, 15, 12, 28, 29, 13, 16, 19, 7, 22, 30, 27, 0, 9, 6, 31, 21, 1, 23, 10]",False,0
17:25:54 29/12/2020,2,66,408,"[11, 2, 14, 25, 26, 18, 4, 3, 5, 17, 20, 8, 24, 15, 12, 28, 29, 13, 16, 19, 7, 22, 30, 27, 0, 9, 6, 31, 21, 1, 23, 10]",False,1
17:25:54 29/12/2020,3,101,408,"[31, 20, 23, 27, 28, 21, 7, 13, 14, 6, 0, 1, 15, 24, 5, 8, 11, 30, 10, 4, 9, 26, 19, 12, 17, 22, 16, 2, 25, 29, 3, 18]",True,2
17:25:54 29/12/2020,4,135,400,"[31, 15, 29, 27, 28, 21, 7, 13, 14, 6, 0, 1, 26, 24, 5, 8, 12, 30, 10, 4, 11, 20, 2, 22, 25, 23, 16, 19, 17, 9, 3, 18]",False,0
17:25:54 29/12/2020,5,166,384,"[23, 7, 31, 22, 11, 6, 20, 5, 13, 21, 17, 25, 26, 2, 14, 24, 15, 30, 10, 4, 9, 0, 19, 12, 28, 27, 16, 8, 1, 29, 3, 18]",False,0
17:25:54 29/12/2020,6,199,380,"[23, 7, 31, 30, 14, 6, 20, 5, 13, 21, 17, 25, 29, 12, 4, 1, 15, 11, 10, 19, 9, 8, 3, 2, 0, 24, 16, 28, 27, 26, 22, 18]",False,0
17:25:54 29/12/2020,7,230,364,"[23, 7, 31, 22, 15, 6, 20, 5, 13, 21, 17, 25, 26, 2, 14, 8, 11, 30, 10, 4, 19, 28, 9, 12, 0, 27, 16, 24, 1, 29, 3, 18]",False,0
17:25:54 29/12/2020,8,263,364,"[23, 7, 31, 22, 15, 6, 20, 5, 13, 21, 17, 25, 26, 2, 14, 8, 11, 30, 10, 4, 19, 28, 9, 12, 0, 27, 16, 24, 1, 29, 3, 18]",False,1
17:25:54 29/12/2020,9,298,364,"[23, 7, 31, 22, 15, 6, 20, 5, 13, 21, 17, 25, 26, 2, 14, 8, 11, 30, 10, 4, 19, 28, 9, 12, 0, 27, 16, 24, 1, 29, 3, 18]",False,2
17:25:54 29/12/2020,10,330,348,"[23, 7, 31, 22, 11, 6, 19, 5, 13, 21, 17, 25, 30, 2, 14, 27, 18, 9, 10, 4, 26, 8, 20, 12, 0, 24, 16, 28, 1, 29, 3, 15]",False,0
17:25:54 29/12/2020,11,363,312,"[23, 7, 31, 30, 14, 6, 20, 5, 13, 21, 17, 25, 29, 12, 4, 1, 15, 11, 10, 19, 9, 8, 3, 2, 0, 24, 16, 28, 27, 26, 22, 18]",True,0
