Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:59:08 19/12/2020,1,65,792,"[30, 19, 3, 17, 2, 29, 25, 4, 1, 14, 23, 21, 13, 15, 27, 5, 12, 31, 7, 20, 11, 10, 26, 24, 18, 9, 0, 6, 28, 8, 16, 22]",False,0
15:59:08 19/12/2020,2,131,792,"[30, 19, 3, 17, 2, 29, 25, 4, 1, 14, 23, 21, 13, 15, 27, 5, 12, 31, 7, 20, 11, 10, 26, 24, 18, 9, 0, 6, 28, 8, 16, 22]",True,1
15:59:09 19/12/2020,3,195,792,"[30, 19, 3, 17, 2, 29, 25, 4, 1, 14, 23, 21, 13, 15, 27, 5, 12, 31, 7, 20, 11, 10, 26, 24, 18, 9, 0, 6, 28, 8, 16, 22]",True,2
15:59:09 19/12/2020,4,260,792,"[30, 19, 3, 17, 2, 29, 25, 4, 1, 14, 23, 21, 13, 15, 27, 5, 12, 31, 7, 20, 11, 10, 26, 24, 18, 9, 0, 6, 28, 8, 16, 22]",False,3
15:59:09 19/12/2020,5,326,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",True,0
15:59:09 19/12/2020,6,393,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,1
15:59:09 19/12/2020,7,459,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,2
15:59:09 19/12/2020,8,524,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,3
15:59:09 19/12/2020,9,589,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,4
15:59:09 19/12/2020,10,650,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,5
15:59:10 19/12/2020,11,712,688,"[0, 7, 18, 4, 29, 17, 19, 26, 27, 31, 1, 10, 11, 3, 25, 9, 13, 8, 15, 24, 28, 30, 2, 16, 12, 23, 14, 6, 21, 5, 20, 22]",False,6
15:59:10 19/12/2020,12,774,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",True,0
15:59:10 19/12/2020,13,837,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,1
15:59:10 19/12/2020,14,899,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,2
15:59:10 19/12/2020,15,966,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,3
15:59:10 19/12/2020,16,1029,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,4
15:59:10 19/12/2020,17,1095,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,5
15:59:10 19/12/2020,18,1159,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,6
15:59:11 19/12/2020,19,1225,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,7
15:59:11 19/12/2020,20,1288,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,8
15:59:11 19/12/2020,21,1352,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,9
15:59:11 19/12/2020,22,1418,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,10
15:59:11 19/12/2020,23,1483,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,11
15:59:11 19/12/2020,24,1551,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,12
15:59:11 19/12/2020,25,1617,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,13
15:59:11 19/12/2020,26,1685,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,14
15:59:11 19/12/2020,27,1752,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,15
15:59:11 19/12/2020,28,1816,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,16
15:59:12 19/12/2020,29,1878,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,17
15:59:12 19/12/2020,30,1944,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,18
15:59:12 19/12/2020,31,2013,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,19
15:59:12 19/12/2020,32,2080,654,"[0, 7, 18, 4, 26, 24, 27, 28, 13, 31, 11, 12, 8, 10, 25, 9, 14, 29, 15, 30, 1, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,20
15:59:12 19/12/2020,33,2146,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",True,0
15:59:12 19/12/2020,34,2208,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,1
15:59:12 19/12/2020,35,2273,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,2
15:59:12 19/12/2020,36,2337,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,3
15:59:12 19/12/2020,37,2405,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,4
15:59:13 19/12/2020,38,2472,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,5
15:59:13 19/12/2020,39,2538,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 3, 23, 19, 6, 21, 5, 20, 22]",False,6
15:59:13 19/12/2020,40,2599,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 6, 23, 22, 3, 21, 5, 20, 19]",False,7
15:59:13 19/12/2020,41,2665,644,"[0, 1, 18, 4, 26, 24, 31, 28, 13, 27, 9, 12, 8, 10, 25, 11, 14, 29, 15, 30, 7, 17, 2, 16, 6, 23, 22, 3, 21, 5, 20, 19]",False,8
