Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:35:10 20/12/2020,1,60,820,"[1, 0, 6, 3, 25, 13, 28, 17, 12, 29, 14, 23, 30, 20, 15, 31, 26, 8, 21, 19, 24, 22, 16, 11, 27, 10, 9, 4, 2, 18, 5, 7]",False,0
18:35:10 20/12/2020,2,123,820,"[1, 0, 6, 3, 25, 13, 28, 17, 12, 29, 14, 23, 30, 20, 15, 31, 26, 8, 21, 19, 24, 22, 16, 11, 27, 10, 9, 4, 2, 18, 5, 7]",False,1
18:35:10 20/12/2020,3,189,820,"[1, 0, 6, 3, 25, 13, 28, 17, 12, 29, 14, 23, 30, 20, 15, 31, 26, 8, 21, 19, 24, 22, 16, 11, 27, 10, 9, 4, 2, 18, 5, 7]",False,2
18:35:11 20/12/2020,4,253,820,"[1, 0, 6, 3, 25, 13, 28, 17, 12, 29, 14, 23, 30, 20, 15, 31, 26, 8, 21, 19, 24, 22, 16, 11, 27, 10, 9, 4, 2, 18, 5, 7]",True,3
18:35:11 20/12/2020,5,326,692,"[13, 18, 16, 12, 6, 30, 1, 22, 9, 3, 27, 19, 11, 26, 7, 10, 2, 15, 31, 14, 29, 20, 25, 23, 28, 21, 4, 8, 0, 5, 17, 24]",True,0
18:35:11 20/12/2020,6,394,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 20, 18, 26, 28, 30, 31, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",True,0
18:35:11 20/12/2020,7,452,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,1
18:35:11 20/12/2020,8,515,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,2
18:35:12 20/12/2020,9,580,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,3
18:35:12 20/12/2020,10,639,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",True,4
18:35:12 20/12/2020,11,706,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",True,5
18:35:12 20/12/2020,12,773,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,6
18:35:12 20/12/2020,13,836,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,7
18:35:13 20/12/2020,14,899,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,8
18:35:13 20/12/2020,15,969,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,9
18:35:13 20/12/2020,16,1031,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,10
18:35:13 20/12/2020,17,1101,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,11
18:35:13 20/12/2020,18,1168,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,12
18:35:13 20/12/2020,19,1230,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,13
18:35:13 20/12/2020,20,1297,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",True,14
18:35:14 20/12/2020,21,1363,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,15
18:35:14 20/12/2020,22,1429,678,"[8, 16, 13, 10, 29, 19, 6, 25, 21, 31, 18, 26, 28, 30, 20, 22, 23, 14, 24, 27, 11, 2, 3, 15, 4, 12, 7, 9, 1, 0, 17, 5]",False,16
18:35:14 20/12/2020,23,1497,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,0
18:35:14 20/12/2020,24,1563,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",True,1
18:35:14 20/12/2020,25,1630,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,2
18:35:14 20/12/2020,26,1692,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,3
18:35:15 20/12/2020,27,1757,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",True,4
18:35:15 20/12/2020,28,1824,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,5
18:35:15 20/12/2020,29,1890,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,6
18:35:15 20/12/2020,30,1957,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,7
18:35:15 20/12/2020,31,2025,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,8
18:35:15 20/12/2020,32,2091,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,9
18:35:15 20/12/2020,33,2152,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,10
18:35:16 20/12/2020,34,2217,648,"[8, 16, 15, 10, 29, 19, 6, 25, 21, 20, 18, 26, 27, 30, 31, 22, 23, 17, 24, 28, 11, 2, 4, 1, 3, 0, 7, 9, 14, 12, 13, 5]",False,11
18:35:16 20/12/2020,35,2285,646,"[13, 18, 16, 12, 14, 15, 9, 22, 31, 3, 27, 10, 11, 19, 7, 26, 2, 30, 23, 6, 29, 20, 1, 25, 8, 21, 4, 28, 0, 5, 17, 24]",True,0
18:35:16 20/12/2020,36,2348,646,"[13, 18, 16, 12, 14, 15, 9, 22, 31, 3, 27, 10, 11, 19, 7, 26, 2, 30, 23, 6, 29, 20, 1, 25, 8, 21, 4, 28, 0, 5, 17, 24]",False,1
18:35:16 20/12/2020,37,2415,644,"[13, 18, 16, 12, 14, 19, 25, 22, 23, 3, 30, 27, 11, 26, 7, 10, 2, 15, 31, 6, 29, 20, 1, 9, 28, 21, 4, 8, 0, 5, 17, 24]",True,0
18:35:16 20/12/2020,38,2481,644,"[13, 18, 16, 12, 14, 19, 25, 22, 23, 3, 30, 27, 11, 26, 7, 10, 2, 15, 31, 6, 29, 20, 1, 9, 28, 21, 4, 8, 0, 5, 17, 24]",False,1
18:35:17 20/12/2020,39,2545,644,"[13, 18, 16, 12, 14, 19, 25, 22, 23, 3, 30, 27, 11, 26, 7, 10, 2, 15, 31, 6, 29, 20, 1, 9, 28, 21, 4, 8, 0, 5, 17, 24]",False,2
