Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:00:31 19/12/2020,1,63,312,"[28, 22, 4, 24, 8, 11, 29, 9, 25, 20, 14, 6, 13, 12, 21, 31, 1, 27, 30, 16, 2, 19, 17, 26, 15, 23, 7, 10, 0, 5, 3, 18]",False,0
16:00:32 19/12/2020,2,131,312,"[28, 22, 4, 24, 8, 11, 29, 9, 25, 20, 14, 6, 13, 12, 21, 31, 1, 27, 30, 16, 2, 19, 17, 26, 15, 23, 7, 10, 0, 5, 3, 18]",False,1
16:00:32 19/12/2020,3,195,312,"[28, 22, 4, 24, 8, 11, 29, 9, 25, 20, 14, 6, 13, 12, 21, 31, 1, 27, 30, 16, 2, 19, 17, 26, 15, 23, 7, 10, 0, 5, 3, 18]",False,2
16:00:32 19/12/2020,4,263,312,"[28, 22, 4, 24, 8, 11, 29, 9, 25, 20, 14, 6, 13, 12, 21, 31, 1, 27, 30, 16, 2, 19, 17, 26, 15, 23, 7, 10, 0, 5, 3, 18]",False,3
16:00:32 19/12/2020,5,330,308,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,0
16:00:32 19/12/2020,6,393,298,"[28, 11, 4, 14, 26, 22, 25, 17, 24, 20, 29, 6, 8, 12, 21, 31, 1, 27, 30, 16, 2, 19, 9, 13, 15, 23, 7, 10, 0, 5, 3, 18]",False,0
16:00:32 19/12/2020,7,462,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",True,0
16:00:32 19/12/2020,8,531,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,1
16:00:33 19/12/2020,9,596,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",True,2
16:00:33 19/12/2020,10,662,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,3
16:00:33 19/12/2020,11,729,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,4
16:00:33 19/12/2020,12,793,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",True,5
16:00:33 19/12/2020,13,855,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,6
16:00:34 19/12/2020,14,920,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",True,7
16:00:34 19/12/2020,15,984,224,"[10, 8, 7, 14, 13, 18, 25, 27, 24, 11, 9, 5, 3, 15, 16, 1, 17, 0, 2, 26, 28, 21, 31, 30, 12, 19, 6, 20, 22, 4, 29, 23]",False,8
