Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:41:42 20/12/2020,1,61,278,"[11, 7, 28, 30, 25, 0, 2, 1, 21, 8, 12, 24, 27, 9, 4, 3, 17, 5, 31, 23, 6, 16, 19, 13, 10, 18, 14, 15, 26, 29, 22, 20]",False,0
18:41:42 20/12/2020,2,124,278,"[11, 7, 28, 30, 25, 0, 2, 1, 21, 8, 12, 24, 27, 9, 4, 3, 17, 5, 31, 23, 6, 16, 19, 13, 10, 18, 14, 15, 26, 29, 22, 20]",False,1
18:41:43 20/12/2020,3,190,278,"[11, 7, 28, 30, 25, 0, 2, 1, 21, 8, 12, 24, 27, 9, 4, 3, 17, 5, 31, 23, 6, 16, 19, 13, 10, 18, 14, 15, 26, 29, 22, 20]",False,2
18:41:43 20/12/2020,4,254,278,"[11, 7, 28, 30, 25, 0, 2, 1, 21, 8, 12, 24, 27, 9, 4, 3, 17, 5, 31, 23, 6, 16, 19, 13, 10, 18, 14, 15, 26, 29, 22, 20]",True,3
18:41:43 20/12/2020,5,327,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",True,0
18:41:44 20/12/2020,6,395,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",True,1
18:41:44 20/12/2020,7,454,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",False,2
18:41:44 20/12/2020,8,517,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",False,3
18:41:44 20/12/2020,9,582,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",False,4
18:41:44 20/12/2020,10,641,254,"[8, 30, 23, 10, 20, 27, 25, 28, 24, 14, 31, 4, 12, 22, 9, 18, 26, 16, 15, 0, 2, 7, 21, 11, 19, 5, 3, 13, 1, 17, 6, 29]",True,5
18:41:45 20/12/2020,11,708,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",True,0
18:41:45 20/12/2020,12,775,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,1
18:41:45 20/12/2020,13,838,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,2
18:41:45 20/12/2020,14,901,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,3
18:41:45 20/12/2020,15,971,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,4
18:41:45 20/12/2020,16,1033,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,5
18:41:45 20/12/2020,17,1103,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,6
18:41:45 20/12/2020,18,1170,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,7
18:41:45 20/12/2020,19,1232,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,8
18:41:46 20/12/2020,20,1299,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",True,9
18:41:46 20/12/2020,21,1365,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,10
18:41:46 20/12/2020,22,1431,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,11
18:41:46 20/12/2020,23,1499,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,12
18:41:47 20/12/2020,24,1565,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",True,13
18:41:47 20/12/2020,25,1632,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,14
18:41:47 20/12/2020,26,1694,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",False,15
18:41:47 20/12/2020,27,1759,232,"[12, 3, 24, 28, 10, 23, 11, 27, 7, 30, 14, 26, 18, 2, 22, 15, 31, 6, 29, 9, 4, 13, 1, 20, 0, 8, 19, 16, 17, 5, 25, 21]",True,16
