Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:02:45 19/12/2020,1,68,14,"[10, 3, 15, 1, 28, 24, 27, 14, 30, 22, 8, 2, 18, 7, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 16, 13, 25, 9, 6, 20, 0, 19]",False,0
16:02:45 19/12/2020,2,133,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,1
16:02:45 19/12/2020,3,199,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,2
16:02:45 19/12/2020,4,261,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,3
16:02:45 19/12/2020,5,328,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,4
16:02:45 19/12/2020,6,395,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,5
16:02:45 19/12/2020,7,459,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,6
16:02:45 19/12/2020,8,522,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,7
16:02:45 19/12/2020,9,586,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,8
16:02:45 19/12/2020,10,654,14,"[13, 3, 2, 0, 8, 25, 31, 20, 7, 14, 10, 24, 4, 16, 15, 19, 18, 1, 30, 17, 6, 12, 23, 27, 11, 21, 28, 29, 9, 26, 5, 22]",False,9
16:02:46 19/12/2020,11,720,10,"[13, 3, 21, 0, 8, 25, 31, 16, 7, 14, 27, 12, 5, 20, 2, 26, 18, 1, 30, 17, 6, 9, 23, 10, 11, 15, 28, 29, 24, 19, 4, 22]",False,0
16:02:46 19/12/2020,12,785,10,"[13, 3, 21, 0, 8, 25, 31, 16, 7, 14, 27, 12, 5, 20, 2, 26, 18, 1, 30, 17, 6, 9, 23, 10, 11, 15, 28, 29, 24, 19, 4, 22]",False,1
16:02:46 19/12/2020,13,852,10,"[13, 3, 21, 0, 8, 25, 31, 16, 7, 14, 27, 12, 5, 20, 2, 26, 18, 1, 30, 17, 6, 9, 23, 10, 11, 15, 28, 29, 24, 19, 4, 22]",False,2
16:02:46 19/12/2020,14,916,10,"[13, 3, 21, 0, 8, 25, 31, 16, 7, 14, 27, 12, 5, 20, 2, 26, 18, 1, 30, 17, 6, 9, 23, 10, 11, 15, 28, 29, 24, 19, 4, 22]",False,3
16:02:46 19/12/2020,15,978,10,"[13, 3, 21, 0, 8, 25, 31, 16, 7, 14, 27, 12, 5, 20, 2, 19, 18, 1, 30, 17, 6, 9, 23, 10, 11, 15, 28, 29, 24, 26, 4, 22]",False,4
16:02:46 19/12/2020,16,1042,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 27, 11, 29, 28, 30, 24, 26, 5, 22]",False,0
16:02:46 19/12/2020,17,1110,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,1
16:02:46 19/12/2020,18,1174,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,2
16:02:46 19/12/2020,19,1238,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,3
16:02:46 19/12/2020,20,1304,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,4
16:02:47 19/12/2020,21,1367,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,5
16:02:47 19/12/2020,22,1428,6,"[13, 3, 2, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 23, 26, 11, 29, 28, 30, 24, 27, 5, 22]",False,6
16:02:47 19/12/2020,23,1496,6,"[2, 26, 13, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 5, 27, 11, 29, 28, 30, 24, 3, 23, 22]",False,7
16:02:47 19/12/2020,24,1563,6,"[2, 26, 13, 0, 8, 1, 31, 20, 7, 14, 10, 4, 17, 16, 21, 19, 18, 25, 15, 9, 6, 12, 5, 27, 11, 29, 28, 30, 24, 3, 23, 22]",False,8
16:02:47 19/12/2020,25,1628,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,0
16:02:47 19/12/2020,26,1694,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,1
16:02:47 19/12/2020,27,1757,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",True,2
16:02:48 19/12/2020,28,1825,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",True,3
16:02:48 19/12/2020,29,1890,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,4
16:02:48 19/12/2020,30,1958,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,5
16:02:48 19/12/2020,31,2025,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,6
16:02:48 19/12/2020,32,2094,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,7
16:02:48 19/12/2020,33,2158,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,8
16:02:48 19/12/2020,34,2221,2,"[10, 30, 20, 1, 28, 24, 27, 14, 3, 22, 7, 2, 18, 16, 29, 31, 12, 21, 11, 23, 4, 26, 5, 17, 8, 9, 25, 13, 6, 15, 0, 19]",False,9
