Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:46:32 20/12/2020,1,68,14,"[31, 7, 23, 9, 22, 11, 8, 28, 19, 15, 2, 13, 21, 17, 5, 1, 20, 18, 12, 16, 24, 10, 14, 4, 26, 3, 25, 29, 6, 30, 27, 0]",False,0
18:46:32 20/12/2020,2,130,14,"[31, 7, 23, 9, 22, 11, 8, 28, 19, 15, 2, 13, 21, 17, 5, 1, 20, 18, 12, 16, 24, 10, 14, 4, 26, 3, 25, 29, 6, 30, 27, 0]",False,1
18:46:32 20/12/2020,3,196,10,"[30, 14, 5, 18, 26, 22, 11, 19, 3, 0, 13, 17, 2, 10, 25, 24, 27, 28, 1, 12, 16, 8, 23, 6, 29, 7, 20, 15, 4, 31, 21, 9]",False,0
18:46:33 20/12/2020,4,258,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",True,0
18:46:33 20/12/2020,5,323,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,1
18:46:33 20/12/2020,6,391,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,2
18:46:33 20/12/2020,7,460,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,3
18:46:33 20/12/2020,8,526,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,4
18:46:33 20/12/2020,9,591,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,5
18:46:33 20/12/2020,10,654,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,6
18:46:34 20/12/2020,11,722,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,7
18:46:34 20/12/2020,12,782,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,8
18:46:34 20/12/2020,13,847,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,9
18:46:34 20/12/2020,14,908,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,10
18:46:34 20/12/2020,15,971,2,"[26, 15, 13, 10, 14, 1, 9, 2, 8, 24, 7, 23, 22, 30, 17, 12, 18, 5, 25, 4, 19, 27, 0, 11, 3, 20, 29, 16, 21, 28, 6, 31]",False,11
