Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:03:16 28/12/2020,1,65,20,"[7, 13, 27, 29, 26, 25, 20, 24, 22, 11, 23, 16, 2, 8, 14, 1, 0, 12, 28, 15, 21, 19, 31, 4, 30, 5, 6, 3, 18, 10, 17, 9]",False,0
16:03:16 28/12/2020,2,127,14,"[12, 5, 23, 16, 3, 18, 20, 21, 31, 10, 27, 24, 6, 22, 28, 2, 29, 15, 30, 14, 11, 9, 25, 7, 17, 26, 19, 8, 1, 4, 13, 0]",True,0
16:03:17 28/12/2020,3,192,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,0
16:03:17 28/12/2020,4,257,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,1
16:03:17 28/12/2020,5,324,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,2
16:03:17 28/12/2020,6,390,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",True,3
16:03:17 28/12/2020,7,451,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,4
16:03:17 28/12/2020,8,517,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,5
16:03:17 28/12/2020,9,578,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,6
16:03:18 28/12/2020,10,644,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,7
16:03:18 28/12/2020,11,710,2,"[21, 23, 15, 11, 6, 30, 14, 25, 10, 19, 13, 22, 20, 28, 3, 18, 29, 7, 12, 5, 2, 17, 26, 4, 0, 24, 1, 27, 9, 31, 16, 8]",False,8
