Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:03:38 19/12/2020,1,66,20,"[2, 10, 25, 13, 15, 22, 26, 1, 14, 11, 28, 18, 30, 27, 20, 17, 0, 16, 8, 31, 3, 7, 12, 4, 5, 29, 21, 6, 9, 23, 24, 19]",False,0
16:03:38 19/12/2020,2,132,18,"[2, 20, 24, 9, 8, 3, 19, 7, 31, 23, 17, 11, 16, 14, 4, 13, 6, 28, 5, 25, 22, 10, 29, 26, 18, 12, 15, 21, 27, 30, 1, 0]",False,0
16:03:38 19/12/2020,3,199,18,"[2, 20, 24, 9, 8, 3, 19, 7, 31, 23, 17, 11, 16, 14, 4, 13, 6, 28, 5, 25, 22, 10, 29, 26, 18, 12, 15, 21, 27, 30, 1, 0]",False,1
16:03:38 19/12/2020,4,266,18,"[2, 20, 24, 9, 8, 3, 19, 7, 31, 23, 17, 11, 16, 14, 4, 13, 6, 28, 5, 25, 22, 10, 29, 26, 18, 12, 15, 21, 27, 30, 1, 0]",False,2
16:03:38 19/12/2020,5,330,18,"[2, 20, 24, 9, 8, 3, 19, 7, 31, 23, 17, 11, 16, 14, 4, 13, 6, 28, 5, 25, 22, 10, 29, 26, 18, 12, 15, 21, 27, 30, 1, 0]",False,3
16:03:38 19/12/2020,6,395,18,"[2, 20, 24, 9, 8, 3, 19, 7, 31, 23, 17, 11, 16, 14, 4, 13, 6, 28, 5, 25, 22, 10, 29, 26, 18, 12, 15, 21, 27, 30, 1, 0]",False,4
16:03:38 19/12/2020,7,459,16,"[14, 1, 21, 9, 13, 23, 17, 25, 24, 2, 27, 6, 19, 4, 31, 16, 8, 3, 30, 29, 22, 10, 5, 26, 18, 20, 12, 15, 0, 7, 11, 28]",False,0
16:03:38 19/12/2020,8,524,14,"[31, 26, 19, 27, 3, 29, 0, 7, 8, 4, 17, 9, 1, 11, 12, 13, 6, 28, 2, 25, 22, 30, 5, 15, 10, 24, 16, 18, 21, 23, 14, 20]",False,0
16:03:38 19/12/2020,9,590,12,"[2, 26, 24, 9, 8, 1, 19, 7, 31, 10, 17, 11, 16, 14, 4, 29, 6, 28, 30, 25, 22, 23, 13, 20, 18, 12, 15, 21, 27, 5, 3, 0]",False,0
16:03:39 19/12/2020,10,655,12,"[2, 26, 24, 9, 8, 1, 19, 7, 31, 10, 17, 11, 16, 14, 4, 29, 6, 28, 30, 25, 22, 23, 13, 20, 18, 12, 15, 21, 27, 5, 3, 0]",False,1
16:03:39 19/12/2020,11,721,12,"[2, 26, 24, 9, 8, 1, 19, 7, 31, 10, 17, 11, 16, 14, 4, 29, 6, 28, 30, 25, 22, 23, 13, 20, 18, 12, 15, 21, 27, 5, 3, 0]",False,2
16:03:39 19/12/2020,12,786,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",False,3
16:03:39 19/12/2020,13,854,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",False,4
16:03:39 19/12/2020,14,921,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",False,5
16:03:39 19/12/2020,15,988,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",False,6
16:03:39 19/12/2020,16,1052,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",True,7
16:03:39 19/12/2020,17,1115,12,"[31, 26, 24, 9, 8, 28, 19, 7, 3, 4, 17, 27, 1, 11, 12, 13, 6, 29, 2, 25, 22, 30, 5, 15, 10, 0, 16, 18, 21, 23, 14, 20]",False,8
