Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:50:01 20/12/2020,1,67,20,"[19, 23, 17, 7, 6, 28, 20, 15, 14, 27, 12, 3, 4, 18, 2, 8, 26, 21, 13, 16, 25, 31, 9, 24, 29, 10, 5, 30, 1, 11, 0, 22]",False,0
18:50:01 20/12/2020,2,132,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,0
18:50:01 20/12/2020,3,200,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,1
18:50:01 20/12/2020,4,268,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,2
18:50:01 20/12/2020,5,333,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,3
18:50:01 20/12/2020,6,397,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,4
18:50:01 20/12/2020,7,464,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,5
18:50:02 20/12/2020,8,530,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,6
18:50:02 20/12/2020,9,596,16,"[1, 2, 7, 6, 14, 26, 13, 3, 0, 8, 24, 10, 29, 9, 25, 16, 27, 30, 17, 31, 19, 18, 5, 12, 11, 23, 22, 15, 20, 21, 28, 4]",False,7
18:50:02 20/12/2020,10,665,14,"[21, 10, 16, 24, 28, 13, 23, 6, 2, 22, 19, 12, 18, 29, 0, 4, 26, 5, 27, 30, 11, 9, 1, 7, 8, 3, 20, 31, 15, 14, 17, 25]",False,0
18:50:02 20/12/2020,11,730,14,"[21, 10, 16, 24, 28, 13, 23, 6, 2, 22, 19, 12, 18, 29, 0, 4, 26, 5, 27, 30, 11, 9, 1, 7, 8, 3, 20, 31, 15, 14, 17, 25]",False,1
18:50:02 20/12/2020,12,797,14,"[21, 10, 16, 24, 28, 13, 23, 6, 2, 22, 19, 12, 18, 29, 0, 4, 26, 5, 27, 30, 11, 9, 1, 7, 8, 3, 20, 31, 15, 14, 17, 25]",False,2
18:50:02 20/12/2020,13,859,10,"[21, 0, 16, 24, 28, 13, 23, 6, 2, 22, 19, 4, 18, 15, 10, 27, 12, 5, 26, 30, 11, 9, 1, 7, 8, 3, 20, 31, 29, 14, 17, 25]",True,0
