Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:04:29 19/12/2020,1,64,606,"[26, 23, 8, 17, 15, 27, 24, 14, 21, 13, 7, 1, 16, 20, 9, 0, 11, 28, 25, 31, 19, 3, 18, 29, 10, 22, 12, 5, 4, 30, 2, 6]",False,0
16:04:29 19/12/2020,2,133,606,"[26, 23, 8, 17, 15, 27, 24, 14, 21, 13, 7, 1, 16, 20, 9, 0, 11, 28, 25, 31, 19, 3, 18, 29, 10, 22, 12, 5, 4, 30, 2, 6]",False,1
16:04:29 19/12/2020,3,195,606,"[26, 23, 8, 17, 15, 27, 24, 14, 21, 13, 7, 1, 16, 20, 9, 0, 11, 28, 25, 31, 19, 3, 18, 29, 10, 22, 12, 5, 4, 30, 2, 6]",False,2
16:04:29 19/12/2020,4,262,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",True,0
16:04:29 19/12/2020,5,322,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,1
16:04:29 19/12/2020,6,387,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,2
16:04:30 19/12/2020,7,451,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,3
16:04:30 19/12/2020,8,514,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,4
16:04:30 19/12/2020,9,579,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,5
16:04:30 19/12/2020,10,646,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,6
16:04:30 19/12/2020,11,710,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",True,7
16:04:30 19/12/2020,12,771,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,8
16:04:31 19/12/2020,13,836,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",True,9
16:04:31 19/12/2020,14,902,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,10
16:04:31 19/12/2020,15,968,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,11
16:04:31 19/12/2020,16,1034,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,12
16:04:31 19/12/2020,17,1099,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",True,13
16:04:31 19/12/2020,18,1164,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,14
16:04:31 19/12/2020,19,1229,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,15
16:04:31 19/12/2020,20,1293,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,16
16:04:31 19/12/2020,21,1359,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,17
16:04:32 19/12/2020,22,1426,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,18
16:04:32 19/12/2020,23,1490,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,19
16:04:32 19/12/2020,24,1554,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,20
16:04:32 19/12/2020,25,1617,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,21
16:04:32 19/12/2020,26,1677,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,22
16:04:32 19/12/2020,27,1743,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,23
16:04:32 19/12/2020,28,1805,480,"[2, 29, 7, 14, 8, 13, 6, 20, 4, 25, 12, 28, 30, 23, 22, 10, 15, 1, 0, 3, 17, 21, 27, 16, 19, 18, 9, 24, 5, 26, 31, 11]",False,24
