Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:52:33 20/12/2020,1,67,610,"[3, 15, 10, 17, 31, 22, 27, 1, 25, 29, 20, 30, 18, 9, 2, 4, 16, 23, 24, 19, 21, 26, 14, 13, 7, 6, 28, 12, 5, 0, 8, 11]",False,0
18:52:33 20/12/2020,2,132,610,"[3, 15, 10, 17, 31, 22, 27, 1, 25, 29, 20, 30, 18, 9, 2, 4, 16, 23, 24, 19, 21, 26, 14, 13, 7, 6, 28, 12, 5, 0, 8, 11]",False,1
18:52:34 20/12/2020,3,200,586,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",True,0
18:52:34 20/12/2020,4,266,586,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",True,1
18:52:34 20/12/2020,5,333,586,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",False,2
18:52:35 20/12/2020,6,401,570,"[16, 9, 28, 10, 5, 24, 18, 4, 25, 29, 30, 13, 12, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 17, 1, 11, 21, 27, 0, 23, 3]",True,0
18:52:35 20/12/2020,7,464,570,"[16, 9, 28, 10, 5, 24, 18, 4, 25, 29, 30, 13, 12, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 17, 1, 11, 21, 27, 0, 23, 3]",False,1
18:52:35 20/12/2020,8,530,570,"[16, 9, 28, 10, 5, 24, 18, 4, 25, 29, 30, 13, 12, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 17, 1, 11, 21, 27, 0, 23, 3]",False,2
18:52:35 20/12/2020,9,592,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,0
18:52:35 20/12/2020,10,657,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,1
18:52:35 20/12/2020,11,723,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,2
18:52:35 20/12/2020,12,788,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,3
18:52:35 20/12/2020,13,851,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,4
18:52:36 20/12/2020,14,920,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,5
18:52:36 20/12/2020,15,990,550,"[10, 25, 12, 5, 17, 9, 18, 4, 24, 29, 30, 13, 28, 2, 14, 20, 8, 7, 26, 6, 19, 31, 15, 22, 16, 1, 11, 21, 27, 0, 23, 3]",False,6
18:52:36 20/12/2020,16,1058,548,"[16, 6, 28, 18, 5, 11, 21, 4, 25, 29, 30, 13, 12, 8, 10, 20, 24, 7, 26, 2, 19, 31, 15, 22, 17, 1, 9, 14, 27, 0, 23, 3]",False,0
18:52:36 20/12/2020,17,1127,464,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",False,0
18:52:36 20/12/2020,18,1191,464,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",False,1
18:52:36 20/12/2020,19,1260,464,"[13, 22, 12, 30, 23, 4, 28, 25, 27, 3, 17, 16, 15, 7, 11, 29, 31, 0, 14, 26, 1, 5, 19, 10, 9, 8, 18, 21, 20, 24, 2, 6]",False,2
