Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:53:13 19/12/2020,1,62,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",True,0
17:53:13 19/12/2020,2,127,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,1
17:53:13 19/12/2020,3,188,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,2
17:53:13 19/12/2020,4,252,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,3
17:53:13 19/12/2020,5,316,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,4
17:53:13 19/12/2020,6,383,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,5
17:53:13 19/12/2020,7,450,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,6
17:53:13 19/12/2020,8,514,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,7
17:53:13 19/12/2020,9,576,104070,"[19, 9, 23, 20, 6, 22, 28, 8, 27, 24, 18, 26, 12, 17, 16, 7, 1, 5, 3, 0, 10, 4, 29, 15, 25, 2, 14, 11, 21, 13]",False,8
17:53:14 19/12/2020,10,643,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",True,0
17:53:14 19/12/2020,11,708,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,1
17:53:14 19/12/2020,12,773,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,2
17:53:14 19/12/2020,13,837,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",True,3
17:53:14 19/12/2020,14,902,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,4
17:53:14 19/12/2020,15,966,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",True,5
17:53:15 19/12/2020,16,1028,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,6
17:53:15 19/12/2020,17,1089,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,7
17:53:15 19/12/2020,18,1152,101090,"[1, 5, 2, 7, 0, 16, 3, 23, 6, 19, 4, 28, 22, 20, 13, 25, 15, 14, 24, 17, 11, 21, 29, 8, 12, 10, 18, 26, 27, 9]",False,8
