Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
19:06:13 20/12/2020,1,62,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,0
19:06:13 20/12/2020,2,124,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,1
19:06:13 20/12/2020,3,190,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,2
19:06:13 20/12/2020,4,250,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,3
19:06:13 20/12/2020,5,317,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,4
19:06:13 20/12/2020,6,385,122750,"[26, 23, 27, 25, 15, 10, 12, 29, 1, 0, 4, 8, 9, 6, 3, 24, 11, 2, 5, 16, 17, 14, 19, 18, 21, 7, 20, 28, 22, 13]",False,5
19:06:13 20/12/2020,7,447,121670,"[22, 19, 26, 13, 0, 9, 11, 3, 24, 4, 7, 14, 17, 21, 28, 27, 20, 6, 2, 23, 12, 8, 25, 5, 15, 18, 10, 29, 16, 1]",False,0
19:06:14 20/12/2020,8,510,121670,"[22, 19, 26, 13, 0, 9, 11, 3, 24, 4, 7, 14, 17, 21, 28, 27, 20, 6, 2, 23, 12, 8, 25, 5, 15, 18, 10, 29, 16, 1]",False,1
19:06:14 20/12/2020,9,569,121670,"[22, 19, 26, 13, 0, 9, 11, 3, 24, 4, 7, 14, 17, 21, 28, 27, 20, 6, 2, 23, 12, 8, 25, 5, 15, 18, 10, 29, 16, 1]",False,2
19:06:14 20/12/2020,10,630,120260,"[2, 23, 27, 19, 21, 20, 12, 7, 1, 0, 4, 8, 9, 6, 3, 24, 11, 26, 28, 16, 10, 14, 18, 5, 15, 25, 17, 29, 22, 13]",False,0
