Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:57:56 19/12/2020,1,61,125610,"[11, 26, 7, 20, 19, 6, 4, 13, 0, 14, 3, 1, 22, 8, 21, 28, 9, 27, 2, 10, 16, 29, 24, 15, 17, 12, 25, 18, 23, 5]",False,0
17:57:56 19/12/2020,2,127,124790,"[29, 1, 7, 6, 10, 20, 12, 16, 22, 8, 9, 19, 17, 28, 14, 26, 11, 4, 21, 25, 18, 5, 13, 2, 15, 0, 3, 27, 24, 23]",False,0
17:57:56 19/12/2020,3,191,124790,"[29, 1, 7, 6, 10, 20, 12, 16, 22, 8, 9, 19, 17, 28, 14, 26, 11, 4, 21, 25, 18, 5, 13, 2, 15, 0, 3, 27, 24, 23]",False,1
17:57:56 19/12/2020,4,257,124790,"[29, 1, 7, 6, 10, 20, 12, 16, 22, 8, 9, 19, 17, 28, 14, 26, 11, 4, 21, 25, 18, 5, 13, 2, 15, 0, 3, 27, 24, 23]",False,2
17:57:56 19/12/2020,5,321,122930,"[10, 22, 11, 29, 19, 26, 25, 4, 20, 23, 2, 28, 5, 21, 24, 27, 0, 17, 3, 6, 12, 9, 1, 16, 15, 13, 8, 14, 7, 18]",False,0
17:57:56 19/12/2020,6,386,122930,"[10, 22, 11, 29, 19, 26, 25, 4, 20, 23, 2, 28, 5, 21, 24, 27, 0, 17, 3, 6, 12, 9, 1, 16, 15, 13, 8, 14, 7, 18]",False,1
17:57:57 19/12/2020,7,446,122930,"[10, 22, 11, 29, 19, 26, 25, 4, 20, 23, 2, 28, 5, 21, 24, 27, 0, 17, 3, 6, 12, 9, 1, 16, 15, 13, 8, 14, 7, 18]",False,2
17:57:57 19/12/2020,8,513,122930,"[10, 22, 11, 29, 19, 26, 25, 4, 20, 23, 2, 28, 5, 21, 24, 27, 0, 17, 3, 6, 12, 9, 1, 16, 15, 13, 8, 14, 7, 18]",False,3
17:57:57 19/12/2020,9,576,122930,"[10, 22, 11, 29, 19, 26, 25, 4, 20, 23, 2, 28, 5, 21, 24, 27, 0, 17, 3, 6, 12, 9, 1, 16, 15, 13, 8, 14, 7, 18]",False,4
17:57:57 19/12/2020,10,640,122890,"[12, 11, 29, 25, 10, 4, 2, 15, 0, 27, 3, 18, 14, 17, 24, 13, 23, 26, 1, 28, 21, 8, 6, 5, 9, 16, 20, 19, 7, 22]",False,0
17:57:57 19/12/2020,11,706,122890,"[12, 11, 29, 25, 10, 4, 2, 15, 0, 27, 3, 18, 14, 17, 24, 13, 23, 26, 1, 28, 21, 8, 6, 5, 9, 16, 20, 19, 7, 22]",True,1
17:57:57 19/12/2020,12,772,115310,"[3, 28, 18, 23, 4, 20, 7, 19, 6, 14, 21, 12, 27, 9, 8, 17, 22, 26, 25, 11, 24, 10, 29, 15, 1, 5, 0, 16, 2, 13]",False,0
17:57:57 19/12/2020,13,836,115310,"[3, 28, 18, 23, 4, 20, 7, 19, 6, 14, 21, 12, 27, 9, 8, 17, 22, 26, 25, 11, 24, 10, 29, 15, 1, 5, 0, 16, 2, 13]",False,1
