Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:13:42 22/12/2020,1,72,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,0
18:13:42 22/12/2020,2,144,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,1
18:13:42 22/12/2020,3,217,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",True,0
18:13:42 22/12/2020,4,288,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,1
18:13:42 22/12/2020,5,360,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,2
18:13:43 22/12/2020,6,433,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",True,3
18:13:43 22/12/2020,7,505,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,4
18:13:43 22/12/2020,8,577,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,5
18:13:43 22/12/2020,9,649,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,6
18:13:43 22/12/2020,10,721,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,7
18:13:43 22/12/2020,11,793,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,8
18:13:43 22/12/2020,12,864,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,9
18:13:43 22/12/2020,13,936,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,10
18:13:44 22/12/2020,14,1008,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,11
18:13:44 22/12/2020,15,1080,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,12
18:13:44 22/12/2020,16,1152,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,13
18:13:44 22/12/2020,17,1224,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,14
18:13:44 22/12/2020,18,1296,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",False,15
18:13:44 22/12/2020,19,1369,107300,"[29, 5, 18, 23, 25, 4, 28, 2, 0, 24, 19, 13, 9, 17, 26, 14, 10, 3, 21, 1, 11, 22, 15, 16, 27, 12, 8, 20, 7, 6]",True,16
