Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:02:59 22/12/2020,1,36,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,0
18:02:59 22/12/2020,2,72,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,1
18:02:59 22/12/2020,3,108,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,2
18:02:59 22/12/2020,4,144,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,3
18:02:59 22/12/2020,5,180,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,4
18:03:00 22/12/2020,6,216,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,5
18:03:00 22/12/2020,7,252,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,6
18:03:00 22/12/2020,8,288,122890,"[23, 4, 18, 3, 16, 5, 1, 10, 11, 17, 26, 20, 28, 25, 24, 7, 21, 2, 9, 29, 14, 6, 12, 15, 19, 0, 13, 8, 22, 27]",False,7
18:03:00 22/12/2020,9,324,122040,"[29, 9, 27, 6, 21, 20, 4, 3, 13, 18, 28, 25, 17, 26, 7, 22, 23, 10, 8, 5, 12, 11, 1, 2, 19, 14, 15, 24, 0, 16]",False,0
18:03:00 22/12/2020,10,360,122040,"[29, 9, 27, 6, 21, 20, 4, 3, 13, 18, 28, 25, 17, 26, 7, 22, 23, 10, 8, 5, 12, 11, 1, 2, 19, 14, 15, 24, 0, 16]",False,1
18:03:00 22/12/2020,11,396,122040,"[29, 9, 27, 6, 21, 20, 4, 3, 13, 18, 28, 25, 17, 26, 7, 22, 23, 10, 8, 5, 12, 11, 1, 2, 19, 14, 15, 24, 0, 16]",False,2
18:03:00 22/12/2020,12,432,121920,"[24, 6, 22, 26, 15, 20, 0, 17, 21, 7, 4, 28, 18, 23, 2, 9, 27, 10, 13, 5, 12, 11, 16, 3, 14, 1, 19, 8, 25, 29]",False,0
18:03:00 22/12/2020,13,468,120090,"[24, 21, 22, 26, 15, 28, 5, 4, 6, 9, 7, 2, 18, 0, 20, 17, 27, 11, 13, 10, 12, 23, 16, 3, 14, 1, 19, 8, 25, 29]",False,0
18:03:00 22/12/2020,14,504,120090,"[24, 21, 22, 26, 15, 28, 5, 4, 6, 9, 7, 2, 18, 0, 20, 17, 27, 11, 13, 10, 12, 23, 16, 3, 14, 1, 19, 8, 25, 29]",False,1
18:03:01 22/12/2020,15,540,118290,"[24, 21, 22, 26, 15, 20, 0, 17, 19, 7, 4, 28, 18, 23, 1, 9, 27, 11, 13, 10, 12, 5, 16, 3, 14, 2, 6, 8, 25, 29]",False,0
18:03:01 22/12/2020,16,576,118170,"[24, 21, 22, 26, 15, 20, 5, 17, 6, 7, 4, 28, 18, 23, 1, 9, 27, 11, 13, 10, 12, 0, 16, 3, 14, 2, 19, 8, 25, 29]",False,0
18:03:01 22/12/2020,17,612,116860,"[24, 26, 22, 6, 21, 20, 0, 17, 19, 7, 4, 28, 18, 23, 1, 9, 27, 10, 13, 5, 12, 11, 16, 3, 14, 2, 15, 8, 25, 29]",False,0
18:03:01 22/12/2020,18,649,103470,"[9, 22, 20, 27, 8, 19, 6, 0, 21, 12, 1, 10, 7, 16, 11, 23, 29, 28, 24, 3, 14, 17, 25, 5, 15, 4, 2, 26, 13, 18]",True,0
18:03:01 22/12/2020,19,686,103470,"[9, 22, 20, 27, 8, 19, 6, 0, 21, 12, 1, 10, 7, 16, 11, 23, 29, 28, 24, 3, 14, 17, 25, 5, 15, 4, 2, 26, 13, 18]",True,1
18:03:01 22/12/2020,20,722,103470,"[9, 22, 20, 27, 8, 19, 6, 0, 21, 12, 1, 10, 7, 16, 11, 23, 29, 28, 24, 3, 14, 17, 25, 5, 15, 4, 2, 26, 13, 18]",False,2
18:03:01 22/12/2020,21,758,103470,"[9, 22, 20, 27, 8, 19, 6, 0, 21, 12, 1, 10, 7, 16, 11, 23, 29, 28, 24, 3, 14, 17, 25, 5, 15, 4, 2, 26, 13, 18]",False,3
