Time,Iteration,Fitness,Assignment,Local search,Similarity counter
22:06:14 06/12/2020,1,3102,"[2, 18, 0, 8, 1, 16, 4, 19, 11, 6, 13, 9, 5, 20, 10, 7, 17, 12, 3, 14, 15]",False,0
22:06:15 06/12/2020,2,3038,"[4, 11, 6, 2, 0, 14, 16, 8, 5, 1, 9, 18, 20, 3, 15, 7, 10, 12, 17, 19, 13]",False,0
22:06:15 06/12/2020,3,3038,"[4, 11, 6, 2, 0, 14, 16, 8, 5, 1, 9, 18, 20, 3, 15, 7, 10, 12, 17, 19, 13]",False,1
22:06:15 06/12/2020,4,3038,"[4, 11, 6, 2, 0, 14, 16, 8, 5, 1, 9, 18, 20, 3, 15, 7, 10, 12, 17, 19, 13]",False,2
22:06:15 06/12/2020,5,3038,"[7, 0, 3, 20, 12, 5, 13, 10, 6, 14, 18, 2, 15, 11, 9, 8, 16, 17, 1, 4, 19]",False,3
22:06:15 06/12/2020,6,3034,"[20, 13, 6, 11, 9, 0, 4, 3, 18, 2, 5, 15, 12, 1, 19, 7, 16, 8, 17, 10, 14]",False,0
22:06:15 06/12/2020,7,3034,"[20, 13, 6, 11, 9, 0, 4, 3, 18, 2, 5, 15, 12, 1, 19, 7, 16, 8, 17, 10, 14]",False,1
22:06:15 06/12/2020,8,3026,"[13, 0, 17, 11, 19, 12, 4, 20, 7, 6, 5, 8, 9, 1, 18, 3, 2, 15, 14, 16, 10]",False,0
22:06:15 06/12/2020,9,3026,"[13, 0, 17, 11, 19, 12, 4, 20, 7, 6, 5, 8, 9, 1, 18, 3, 2, 15, 14, 16, 10]",False,1
22:06:15 06/12/2020,10,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",True,0
22:06:15 06/12/2020,11,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,1
22:06:15 06/12/2020,12,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,2
22:06:15 06/12/2020,13,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,3
22:06:16 06/12/2020,14,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",True,4
22:06:16 06/12/2020,15,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,5
22:06:16 06/12/2020,16,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,6
22:06:16 06/12/2020,17,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,7
22:06:16 06/12/2020,18,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,8
22:06:16 06/12/2020,19,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,9
22:06:16 06/12/2020,20,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,10
22:06:16 06/12/2020,21,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,11
22:06:16 06/12/2020,22,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",True,12
22:06:16 06/12/2020,23,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,13
22:06:16 06/12/2020,24,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,14
22:06:16 06/12/2020,25,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,15
22:06:16 06/12/2020,26,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,16
22:06:17 06/12/2020,27,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",True,17
22:06:17 06/12/2020,28,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,18
22:06:17 06/12/2020,29,2752,"[4, 1, 12, 20, 17, 14, 18, 5, 8, 6, 9, 15, 7, 19, 11, 2, 10, 0, 16, 3, 13]",False,19
