Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:25:45 28/12/2020,1,68,15840932,"[8, 21, 19, 10, 13, 11, 5, 29, 18, 35, 30, 31, 0, 6, 23, 1, 22, 25, 14, 20, 15, 3, 28, 12, 7, 26, 34, 27, 24, 2, 9, 32, 17, 16, 4, 33]",False,0
17:25:45 28/12/2020,2,135,15337086,"[11, 8, 10, 2, 13, 28, 21, 9, 22, 34, 3, 29, 6, 32, 30, 7, 33, 20, 26, 1, 12, 4, 31, 25, 17, 27, 24, 15, 14, 0, 18, 5, 19, 23, 35, 16]",False,0
17:25:45 28/12/2020,3,202,15331008,"[25, 18, 27, 29, 16, 7, 4, 6, 2, 5, 33, 31, 26, 14, 3, 1, 17, 8, 21, 22, 32, 28, 15, 9, 12, 34, 11, 19, 24, 30, 20, 10, 0, 13, 23, 35]",False,0
17:25:45 28/12/2020,4,271,15331008,"[25, 18, 27, 29, 16, 7, 4, 6, 2, 5, 33, 31, 26, 14, 3, 1, 17, 8, 21, 22, 32, 28, 15, 9, 12, 34, 11, 19, 24, 30, 20, 10, 0, 13, 23, 35]",False,1
17:25:45 28/12/2020,5,339,15282600,"[25, 18, 27, 33, 16, 7, 6, 4, 10, 31, 29, 5, 3, 9, 26, 1, 17, 8, 21, 22, 32, 28, 35, 14, 12, 34, 11, 19, 24, 30, 20, 2, 0, 13, 23, 15]",False,0
17:25:45 28/12/2020,6,401,15282600,"[25, 18, 27, 33, 16, 7, 6, 4, 10, 31, 29, 5, 3, 9, 26, 1, 17, 8, 21, 22, 32, 28, 35, 14, 12, 34, 11, 19, 24, 30, 20, 2, 0, 13, 23, 15]",False,1
17:25:46 28/12/2020,7,467,14243490,"[8, 20, 16, 19, 3, 5, 23, 13, 34, 25, 27, 18, 29, 28, 7, 1, 17, 32, 31, 22, 15, 14, 10, 21, 9, 2, 0, 24, 33, 12, 4, 11, 6, 26, 35, 30]",False,0
17:25:46 28/12/2020,8,530,14243490,"[8, 20, 16, 19, 3, 5, 23, 13, 34, 25, 27, 18, 29, 28, 7, 1, 17, 32, 31, 22, 15, 14, 10, 21, 9, 2, 0, 24, 33, 12, 4, 11, 6, 26, 35, 30]",False,1
17:25:46 28/12/2020,9,598,14243490,"[8, 20, 16, 19, 3, 5, 23, 13, 34, 25, 27, 18, 29, 28, 7, 1, 17, 32, 31, 22, 15, 14, 10, 21, 9, 2, 0, 24, 33, 12, 4, 11, 6, 26, 35, 30]",False,2
17:25:46 28/12/2020,10,666,13691308,"[8, 20, 16, 19, 3, 5, 4, 13, 31, 25, 27, 18, 29, 28, 7, 1, 17, 32, 34, 22, 15, 14, 10, 21, 9, 2, 0, 24, 33, 26, 23, 11, 6, 12, 35, 30]",False,0
