Time,Iteration,Fitness,Assignment,Local search,Similarity counter
23:46:43 03/12/2020,1,583818,"[14, 4, 9, 11, 5, 7, 3, 0, 8, 2, 13, 16, 15, 12, 10, 6, 1]",False,0
23:46:43 03/12/2020,2,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",True,0
23:46:43 03/12/2020,3,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,1
23:46:43 03/12/2020,4,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,2
23:46:43 03/12/2020,5,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,3
23:46:43 03/12/2020,6,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,4
23:46:43 03/12/2020,7,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,5
23:46:43 03/12/2020,8,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,6
23:46:43 03/12/2020,9,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,7
23:46:43 03/12/2020,10,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,8
23:46:43 03/12/2020,11,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,9
23:46:43 03/12/2020,12,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,10
23:46:43 03/12/2020,13,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,11
23:46:43 03/12/2020,14,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,12
23:46:43 03/12/2020,15,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,13
23:46:43 03/12/2020,16,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,14
23:46:43 03/12/2020,17,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,15
23:46:43 03/12/2020,18,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,16
23:46:44 03/12/2020,19,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,17
23:46:44 03/12/2020,20,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,18
23:46:44 03/12/2020,21,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,19
23:46:44 03/12/2020,22,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,20
23:46:44 03/12/2020,23,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,21
23:46:44 03/12/2020,24,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,22
23:46:44 03/12/2020,25,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,23
23:46:44 03/12/2020,26,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,24
23:46:44 03/12/2020,27,551844,"[13, 7, 0, 8, 5, 16, 11, 10, 14, 6, 3, 12, 4, 15, 2, 9, 1]",False,25
23:46:44 03/12/2020,28,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",True,0
23:46:44 03/12/2020,29,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,1
23:46:44 03/12/2020,30,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,2
23:46:44 03/12/2020,31,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,3
23:46:44 03/12/2020,32,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,4
23:46:44 03/12/2020,33,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,5
23:46:44 03/12/2020,34,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,6
23:46:44 03/12/2020,35,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,7
23:46:44 03/12/2020,36,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,8
23:46:44 03/12/2020,37,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,9
23:46:45 03/12/2020,38,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,10
23:46:45 03/12/2020,39,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",True,11
23:46:45 03/12/2020,40,536020,"[7, 1, 0, 2, 11, 15, 5, 10, 12, 3, 9, 14, 6, 8, 13, 4, 16]",False,12
23:46:45 03/12/2020,41,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",True,0
23:46:45 03/12/2020,42,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",False,1
23:46:45 03/12/2020,43,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",False,2
23:46:45 03/12/2020,44,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",False,3
23:46:45 03/12/2020,45,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",False,4
23:46:45 03/12/2020,46,534478,"[7, 6, 10, 1, 14, 12, 9, 4, 15, 5, 3, 16, 11, 8, 0, 13, 2]",False,5
