Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
10:57:40 19/12/2020,1,61,675811812,"[7, 9, 16, 17, 20, 10, 12, 8, 0, 4, 24, 23, 5, 21, 2, 22, 19, 18, 1, 6, 3, 13, 14, 11, 15]",False,0
10:57:40 19/12/2020,2,122,675811812,"[7, 9, 16, 17, 20, 10, 12, 8, 0, 4, 24, 23, 5, 21, 2, 22, 19, 18, 1, 6, 3, 13, 14, 11, 15]",False,1
10:57:40 19/12/2020,3,184,670897093,"[7, 9, 16, 23, 10, 14, 4, 3, 19, 20, 15, 17, 1, 21, 2, 22, 11, 18, 5, 6, 8, 13, 12, 0, 24]",False,0
10:57:40 19/12/2020,4,249,656414582,"[18, 3, 19, 24, 6, 2, 21, 8, 23, 14, 22, 11, 0, 12, 16, 15, 5, 9, 20, 7, 4, 17, 10, 1, 13]",False,0
10:57:40 19/12/2020,5,313,628400516,"[10, 20, 14, 21, 0, 2, 16, 4, 17, 11, 23, 24, 22, 6, 8, 7, 9, 1, 5, 19, 18, 15, 3, 12, 13]",False,0
10:57:41 19/12/2020,6,378,573930475,"[7, 21, 18, 22, 10, 14, 4, 3, 11, 20, 17, 23, 0, 12, 16, 15, 19, 2, 1, 6, 8, 13, 9, 5, 24]",False,0
10:57:41 19/12/2020,7,443,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",True,0
10:57:41 19/12/2020,8,503,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,1
10:57:41 19/12/2020,9,567,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,2
10:57:41 19/12/2020,10,627,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,3
10:57:42 19/12/2020,11,688,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,4
10:57:42 19/12/2020,12,751,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",True,5
10:57:42 19/12/2020,13,811,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,6
10:57:42 19/12/2020,14,880,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",True,7
10:57:42 19/12/2020,15,947,491134321,"[11, 21, 5, 9, 19, 3, 13, 0, 4, 16, 22, 14, 24, 23, 18, 20, 1, 7, 6, 17, 12, 2, 10, 15, 8]",False,8
10:57:43 19/12/2020,16,1002,480316830,"[5, 23, 4, 19, 20, 8, 14, 10, 6, 24, 16, 3, 9, 15, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,0
10:57:43 19/12/2020,17,1061,480316830,"[5, 23, 4, 19, 20, 8, 14, 10, 6, 24, 16, 3, 9, 15, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,1
10:57:43 19/12/2020,18,1123,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",True,0
10:57:43 19/12/2020,19,1188,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,1
10:57:43 19/12/2020,20,1247,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,2
10:57:43 19/12/2020,21,1306,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,3
10:57:43 19/12/2020,22,1368,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,4
10:57:44 19/12/2020,23,1434,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,5
10:57:44 19/12/2020,24,1493,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,6
10:57:44 19/12/2020,25,1559,478625742,"[19, 23, 4, 15, 5, 8, 14, 10, 24, 6, 16, 3, 9, 20, 12, 0, 11, 13, 7, 21, 22, 18, 17, 2, 1]",False,7
10:57:44 19/12/2020,26,1625,459304905,"[16, 24, 17, 2, 8, 4, 23, 14, 6, 7, 5, 3, 12, 15, 9, 0, 11, 20, 22, 13, 1, 10, 19, 18, 21]",False,0
10:57:44 19/12/2020,27,1686,459304905,"[16, 24, 17, 2, 8, 4, 23, 14, 6, 7, 5, 3, 12, 15, 9, 0, 11, 20, 22, 13, 1, 10, 19, 18, 21]",False,1
10:57:44 19/12/2020,28,1749,456925944,"[12, 20, 23, 15, 16, 2, 6, 4, 17, 11, 8, 13, 10, 3, 14, 24, 9, 1, 5, 21, 22, 0, 19, 7, 18]",False,0
10:57:45 19/12/2020,29,1813,456925944,"[12, 20, 23, 15, 16, 2, 6, 4, 17, 11, 8, 13, 10, 3, 14, 24, 9, 1, 5, 21, 22, 0, 19, 7, 18]",True,1
10:57:45 19/12/2020,30,1875,456925944,"[12, 20, 23, 15, 16, 2, 6, 4, 17, 11, 8, 13, 10, 3, 14, 24, 9, 1, 5, 21, 22, 0, 19, 7, 18]",False,2
10:57:45 19/12/2020,31,1936,397506779,"[16, 3, 17, 15, 6, 4, 5, 14, 8, 12, 19, 9, 2, 7, 24, 21, 18, 20, 22, 13, 1, 23, 11, 0, 10]",True,0
10:57:45 19/12/2020,32,2000,397506779,"[16, 3, 17, 15, 6, 4, 5, 14, 8, 12, 19, 9, 2, 7, 24, 21, 18, 20, 22, 13, 1, 23, 11, 0, 10]",False,1
10:57:45 19/12/2020,33,2066,397506779,"[16, 3, 17, 15, 6, 4, 5, 14, 8, 12, 19, 9, 2, 7, 24, 21, 18, 20, 22, 13, 1, 23, 11, 0, 10]",False,2
