Time,Iteration,Fitness,Assignment,Local search,Similarity counter
23:59:07 03/12/2020,1,1004147412,"[4, 19, 9, 29, 28, 5, 10, 13, 15, 27, 8, 21, 18, 1, 11, 17, 22, 25, 0, 16, 23, 6, 26, 24, 3, 12, 14, 2, 7, 20]",False,0
23:59:08 03/12/2020,2,1004147412,"[4, 19, 9, 29, 28, 5, 10, 13, 15, 27, 8, 21, 18, 1, 11, 17, 22, 25, 0, 16, 23, 6, 26, 24, 3, 12, 14, 2, 7, 20]",False,1
23:59:08 03/12/2020,3,991596044,"[12, 0, 2, 24, 18, 23, 16, 21, 8, 20, 3, 17, 26, 5, 27, 29, 10, 28, 14, 13, 22, 7, 6, 9, 19, 4, 1, 25, 11, 15]",True,0
23:59:08 03/12/2020,4,991596044,"[12, 0, 2, 24, 18, 23, 16, 21, 8, 20, 3, 17, 26, 5, 27, 29, 10, 28, 14, 13, 22, 7, 6, 9, 19, 4, 1, 25, 11, 15]",False,1
23:59:08 03/12/2020,5,991596044,"[12, 0, 2, 24, 18, 23, 16, 21, 8, 20, 3, 17, 26, 5, 27, 29, 10, 28, 14, 13, 22, 7, 6, 9, 19, 4, 1, 25, 11, 15]",False,2
23:59:08 03/12/2020,6,991596044,"[12, 0, 2, 24, 18, 23, 16, 21, 8, 20, 3, 17, 26, 5, 27, 29, 10, 28, 14, 13, 22, 7, 6, 9, 19, 4, 1, 25, 11, 15]",False,3
23:59:08 03/12/2020,7,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,0
23:59:08 03/12/2020,8,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",True,1
23:59:09 03/12/2020,9,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,2
23:59:09 03/12/2020,10,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,3
23:59:09 03/12/2020,11,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,4
23:59:09 03/12/2020,12,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,5
23:59:09 03/12/2020,13,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,6
23:59:09 03/12/2020,14,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,7
23:59:09 03/12/2020,15,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,8
23:59:09 03/12/2020,16,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,9
23:59:09 03/12/2020,17,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,10
23:59:09 03/12/2020,18,946195815,"[10, 2, 29, 7, 24, 27, 13, 4, 20, 17, 26, 1, 15, 22, 21, 8, 5, 3, 0, 16, 23, 19, 6, 28, 25, 9, 12, 11, 14, 18]",False,11
