Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
16:12:01 19/12/2020,1,70,199646,"[9, 15, 19, 17, 25, 11, 12, 14, 6, 1, 13, 22, 21, 5, 3, 2, 10, 26, 0, 28, 8, 20, 16, 23, 18, 7, 4, 29, 27, 24]",False,0
16:12:01 19/12/2020,2,135,198720,"[19, 16, 27, 12, 13, 20, 21, 22, 14, 25, 18, 1, 11, 10, 2, 7, 24, 15, 9, 29, 17, 3, 28, 4, 26, 5, 0, 23, 8, 6]",False,0
16:12:02 19/12/2020,3,203,196142,"[18, 29, 17, 12, 13, 25, 22, 23, 0, 28, 6, 8, 2, 4, 10, 5, 3, 15, 26, 1, 21, 20, 14, 16, 19, 9, 24, 11, 7, 27]",True,0
16:12:02 19/12/2020,4,270,196142,"[18, 29, 17, 12, 13, 25, 22, 23, 0, 28, 6, 8, 2, 4, 10, 5, 3, 15, 26, 1, 21, 20, 14, 16, 19, 9, 24, 11, 7, 27]",False,1
16:12:02 19/12/2020,5,335,196142,"[18, 29, 17, 12, 13, 25, 22, 23, 0, 28, 6, 8, 2, 4, 10, 5, 3, 15, 26, 1, 21, 20, 14, 16, 19, 9, 24, 11, 7, 27]",False,2
16:12:02 19/12/2020,6,399,196142,"[18, 29, 17, 12, 13, 25, 22, 23, 0, 28, 6, 8, 2, 4, 10, 5, 3, 15, 26, 1, 21, 20, 14, 16, 19, 9, 24, 11, 7, 27]",False,3
16:12:02 19/12/2020,7,464,196048,"[13, 16, 27, 17, 25, 26, 7, 22, 29, 14, 18, 23, 10, 0, 12, 21, 1, 3, 9, 15, 6, 19, 2, 4, 20, 5, 11, 24, 8, 28]",False,0
16:12:02 19/12/2020,8,526,193806,"[22, 0, 4, 13, 3, 11, 16, 15, 7, 28, 6, 9, 21, 5, 25, 17, 10, 26, 14, 1, 8, 2, 29, 23, 18, 20, 19, 12, 27, 24]",False,0
16:12:02 19/12/2020,9,590,193260,"[25, 16, 27, 17, 13, 20, 7, 22, 29, 15, 18, 23, 10, 0, 12, 21, 1, 3, 9, 28, 6, 19, 14, 4, 2, 26, 24, 11, 8, 5]",False,0
16:12:02 19/12/2020,10,653,193260,"[25, 16, 27, 17, 13, 20, 7, 22, 29, 15, 18, 23, 10, 0, 12, 21, 1, 3, 9, 28, 6, 19, 14, 4, 2, 26, 24, 11, 8, 5]",False,1
16:12:02 19/12/2020,11,718,173002,"[2, 5, 12, 21, 11, 8, 26, 24, 16, 28, 18, 13, 10, 0, 25, 6, 23, 4, 3, 1, 14, 17, 29, 19, 22, 9, 20, 7, 15, 27]",True,0
16:12:02 19/12/2020,12,778,173002,"[2, 5, 12, 21, 11, 8, 26, 24, 16, 28, 18, 13, 10, 0, 25, 6, 23, 4, 3, 1, 14, 17, 29, 19, 22, 9, 20, 7, 15, 27]",False,1
16:12:03 19/12/2020,13,846,173002,"[2, 5, 12, 21, 11, 8, 26, 24, 16, 28, 18, 13, 10, 0, 25, 6, 23, 4, 3, 1, 14, 17, 29, 19, 22, 9, 20, 7, 15, 27]",False,2
16:12:03 19/12/2020,14,908,173002,"[2, 5, 12, 21, 11, 8, 26, 24, 16, 28, 18, 13, 10, 0, 25, 6, 23, 4, 3, 1, 14, 17, 29, 19, 22, 9, 20, 7, 15, 27]",False,3
16:12:03 19/12/2020,15,971,172248,"[3, 15, 26, 23, 4, 2, 11, 24, 27, 28, 8, 12, 0, 10, 18, 5, 1, 7, 19, 16, 22, 20, 9, 6, 13, 17, 25, 21, 29, 14]",True,0
