Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
17:53:51 29/12/2020,1,35,53828,"[16, 32, 34, 33, 27, 14, 20, 18, 35, 49, 42, 26, 4, 36, 44, 2, 6, 31, 1, 46, 43, 30, 47, 40, 48, 24, 23, 17, 15, 39, 8, 25, 7, 37, 38, 0, 28, 19, 13, 12, 10, 3, 21, 11, 9, 41, 5, 45, 22, 29]",False,0
17:53:52 29/12/2020,2,69,53828,"[16, 32, 34, 33, 27, 14, 20, 18, 35, 49, 42, 26, 4, 36, 44, 2, 6, 31, 1, 46, 43, 30, 47, 40, 48, 24, 23, 17, 15, 39, 8, 25, 7, 37, 38, 0, 28, 19, 13, 12, 10, 3, 21, 11, 9, 41, 5, 45, 22, 29]",False,1
17:53:52 29/12/2020,3,104,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",True,0
17:53:52 29/12/2020,4,134,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,1
17:53:53 29/12/2020,5,170,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,2
17:53:53 29/12/2020,6,205,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,3
17:53:53 29/12/2020,7,239,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,4
17:53:53 29/12/2020,8,274,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,5
17:53:53 29/12/2020,9,307,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,6
17:53:53 29/12/2020,10,342,51836,"[26, 25, 17, 15, 12, 22, 8, 49, 34, 1, 24, 6, 38, 46, 42, 33, 27, 48, 39, 28, 11, 7, 4, 43, 3, 30, 47, 9, 21, 0, 10, 19, 2, 18, 35, 37, 31, 40, 29, 14, 23, 32, 36, 5, 16, 44, 20, 41, 45, 13]",False,7
